no. in part 3,species name,author names with var. and ssp.,phylum: family,life form,status,if cultivated,synonyms
1,Flickingeria laciniosa, (Ridl.) Hawkes, Magnoliophyta: Orchidaceae, epiphyte,globally extinct,,
2,Strychnos ridleyi, King & Gamble, Magnoliophyta: Loganiaceae, epiphyte,globally extinct,,
3,Thunbergia dasychlamys, Bremek., Magnoliophyta: Acanthaceae, climber,globally extinct,,
4,Acacia concinna, (Willd.) DC., Magnoliophyta: Fabaceae, climber,extinct,,
5,Acacia kekapur, I. Niels., Magnoliophyta: Fabaceae, climber,extinct,,
6,Acriopsis ridleyi, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
7,Actinodaphne macrophylla, (Blume) Nees, Magnoliophyta: Lauraceae, tree,extinct,,
8,Adenoncos major, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
9,Adenoncos sumatrana, J.J. Sm., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
10,Adiantum hispidulum, Sw., Filicinophyta: Adiantaceae, herb,extinct, cultivated,
11,Adiantum stenochlamys, Baker, Filicinophyta: Adiantaceae, herb,extinct,,
12,Adinandra integerrima, T. Anders. ex Dyer, Magnoliophyta: Pentaphylacaceae, tree,extinct,,
13,Aeschynanthus parvifolius, R. Br., Magnoliophyta: Gesneriaceae, epiphyte,extinct, cultivated, =A.  lobbianus Hook.
14,Aeschynanthus radicans, Jack, Magnoliophyta: Gesneriaceae, epiphyte,extinct,,
15,Aglaia elliptica, Blume, Magnoliophyta: Meliaceae, tree,extinct,,
16,Aglaia macrocarpa, (Miq.) Pannell, Magnoliophyta: Meliaceae, tree,extinct,,
17,Aglaia multinervis, Pannell, Magnoliophyta: Meliaceae, tree,extinct,,
18,Aglaia oligophylla, Miq., Magnoliophyta: Meliaceae, tree,extinct,,
19,Aglaia palembanica, Miq., Magnoliophyta: Meliaceae, tree,extinct,,
20,Aglaia tenuicaulis, Hiern, Magnoliophyta: Meliaceae, tree,extinct,,
21,Aglaia tomentosa, Teijsm. & Binn., Magnoliophyta: Meliaceae, tree,extinct,,
22,Aglaodorum griffithii, (Schott) Schott, Magnoliophyta: Araceae, climber,extinct,,
23,Aglaomorpha speciosa, (Blume) Roos, Filicinophyta: Polypodiaceae, epiphyte,extinct,,
24,Agrostistachys gaudichaudii, Müll. Arg., Magnoliophyta: Euphorbiaceae, tree,extinct,,
25,Agrostophyllum majus, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
26,Agrostophyllum stipulatum, (Griff.) Schltr., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
27,Agrostophyllum stipulatum, (Griff.) Schltr. ssp. bicuspidatum (J.J.Sm.) Schuit., Magnoliophyta: Orchidaceae, epiphyte,extinct,, =A. bicuspidatum J.J. Sm.
28,Alangium ridleyi, King, Magnoliophyta: Cornaceae, tree,extinct, cultivated,
29,Albizia retusa, Benth., Magnoliophyta: Fabaceae, tree,extinct, cultivated,
30,Alchornea rugosa, (Lour.) Müll. Arg., Magnoliophyta: Euphorbiaceae, shrub,extinct,,
31,Alpinia conchigera, Griff., Magnoliophyta: Zingiberaceae, herb,extinct,,
32,Alpinia mutica, Roxb., Magnoliophyta: Zingiberaceae, herb,extinct,,
33,Alpinia rafflesiana, Wall. in Baker, Magnoliophyta: Zingiberaceae, herb,extinct,,
34,Alseodaphne nigrescens, (Gamble) Kostermans, Magnoliophyta: Lauraceae, tree,extinct,,
35,Alyxia pilosa, Miq., Magnoliophyta: Apocynaceae, climber,extinct,,
36,Amomum hastilabium, Ridl., Magnoliophyta: Zingiberaceae, herb,extinct,,
37,Ampelocissus ascendiflora, Latiff, Magnoliophyta: Vitaceae, climber,extinct,,
38,Ampelocissus cinnamomea, (Wall.) Planch., Magnoliophyta: Vitaceae, climber,extinct,,
39,Ampelocissus thyrsiflora, (Blume) Planch., Magnoliophyta: Vitaceae, climber,extinct,,
40,Amylotheca duthieana, (King) Danser, Magnoliophyta: Loranthaceae, epiphyte,extinct,,
41,Anacolosa frutescens, (Blume) Blume, Magnoliophyta: Olacaceae, tree,extinct,,
42,Anathallis acuminata, (Kunth) Pridgeon & M.W.Chase, Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Dendrobium acuminatum Kunth
43,Anisoptera costata, Korth., Magnoliophyta: Dipterocarpaceae, tree,extinct,,
44,Anoectochilus geniculatus, Ridl., Magnoliophyta: Orchidaceae, herb,extinct,,
45,Antrophyum parvulum, Blume, Filicinophyta: Vittariaceae, epiphyte,extinct,,
46,Aphanamixis sumatrana, (Miq.) Ridl., Magnoliophyta: Meliaceae, tree,extinct,,
47,Aphyllorchis pallida, Blume, Magnoliophyta: Orchidaceae, herb,extinct,,
48,Aporosa penangensis, (Ridl.) Airy Shaw, Magnoliophyta: Phyllanthaceae, tree,extinct,,
49,Appendicula anceps, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
50,Appendicula cornuta, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
51,Appendicula lucida, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
52,Appendicula uncata, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
53,Aquilaria hirta, Ridl., Magnoliophyta: Thymelaeaceae, tree,extinct,,
54,Aralidium pinnatifidum, (Jungh. & de Vr.) Miq., Magnoliophyta: Torricelliaceae, tree,extinct, cultivated,
55,Ardisia crassa, C. B. Clarke, Magnoliophyta: Myrsinaceae, shrub,extinct,,
56,Ardisia ridleyi, King & Gamble, Magnoliophyta: Myrsinaceae, shrub,extinct,,
57,Ardisia sessilis, Scheff., Magnoliophyta: Myrsinaceae, shrub,extinct,,
58,Ardisia singaporensis, Ridl., Magnoliophyta: Myrsinaceae, shrub,extinct,,
59,Aristolochia jackii, Steud., Magnoliophyta: Aristolochiaceae, climber,extinct,,
60,Artocarpus maingayi, King, Magnoliophyta: Moraceae, tree,extinct,,
61,Asplenium macrophyllum, Sw., Filicinophyta: Aspleniaceae, epiphyte,extinct,,
62,Asplenium nitidum, Sw., Filicinophyta: Aspleniaceae, epiphyte,extinct,,
63,Austrobuxus nitidus, Miq., Magnoliophyta: Picrodendraceae, tree,extinct,,
64,Baccaurea lanceolata, (Miq.) Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,extinct,,
65,Baccaurea macrophylla, (Müll. Arg.) Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,extinct,,
66,Baccaurea pubera, (Miq.) Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,extinct,, =B. latifolia King ex Hook. f.
67,Baccaurea pyriformis, Gage, Magnoliophyta: Phyllanthaceae, tree,extinct,,
68,Baratranthus axanthus, (Korth.) Miq., Magnoliophyta: Loranthaceae, epiphyte,extinct,,
69,Barringtonia conoidea, Griff., Magnoliophyta: Lecythidaceae, tree,extinct,,
70,Biermannia laciniata, (Carr) Gary, Magnoliophyta: Orchidaceae, herb,extinct,,
71,Blumea junghuhniana, (Miq.) Boerl., Magnoliophyta: Asteraceae, herb,extinct,,
72,Bolbitis sinuata, (C. Presl) Henn., Filicinophyta: Lomariopsidaceae, epiphyte,extinct,,
73,Bridelia cinnamomea, Hook. f., Magnoliophyta: Phyllanthaceae, climber,extinct,, =B. griffithii Hook.f.
74,Bromheadia alticola, Ridl., Magnoliophyta: Orchidaceae, herb,extinct,,
75,Bromheadia aporoides, Rchb. f., Magnoliophyta: Orchidaceae, herb,extinct,,
76,Bromheadia borneensis, J. J. Sm, Magnoliophyta: Orchidaceae, herb,extinct,,
77,Bromheadia scirpoidea, Ridl., Magnoliophyta: Orchidaceae, herb,extinct,,
78,Bromheadia truncata, Seidenf., Magnoliophyta: Orchidaceae, herb,extinct,,
79,Brownlowia argentata, Kurz, Magnoliophyta: Malvaceae, shrub,extinct,,
80,Bryobium hyacinthoides, (Blume) Y. P. Ng & P. J. Cribb, Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Eria hyacinthoides (Blume) Lindl.
81,Bryobium pudicum, (Ridl.) Y. P. Ng & P. J. Cribb, Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Eria pudica Ridl.
82,Bulbophyllum aberrans, Schltr., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
83,Bulbophyllum acuminatum, (Ridl.) Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
84,Bulbophyllum blumei, (Lindl.) J. J. Sm., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
85,Bulbophyllum botryophorum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
86,Bulbophyllum caudatisepalum, Ames & Schweinf., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
87,Bulbophyllum cleistogamum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
88,Bulbophyllum concinnum, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
89,Bulbophyllum flavescens, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
90,Bulbophyllum gracillimum, (Rolfe) Rolfe, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
91,Bulbophyllum lasianthum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
92,Bulbophyllum limbatum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
93,Bulbophyllum lobbii, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
94,Bulbophyllum macrochilum, Rolfe, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
95,Bulbophyllum makoyanum, (Rchb. f.) Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Cirrhopetalum makoyanum Rchb.f.
96,Bulbophyllum medusae, (Lindl.) Rchb. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
97,Bulbophyllum nigropurpureum, Carr, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
98,Bulbophyllum ovalifolium, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
99,Bulbophyllum patens, King ex Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
100,Bulbophyllum pileatum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
101,Bulbophyllum pulchellum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Cirrhopetalum concinnum Hook.f.
102,Bulbophyllum purpurascens, Teijsm & Binnend., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
103,Bulbophyllum restrepia, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
104,Bulbophyllum ruficaudatum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
105,Bulbophyllum rugosum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
106,Bulbophyllum singaporeanum, Schltr., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
107,Bulbophyllum striatellum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
108,Bulbophyllum tenuifolium, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
109,Bulbophyllum uniflorum, (Blume) Hassk., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
110,Bulbophyllum vermiculare, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
111,Bulbophyllum vesiculosum, J.J. Sm, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
112,Caesalpinia tortuosa, Roxb., Magnoliophyta: Fabaceae, climber,extinct,,
113,Calamus densiflorus, Becc., Magnoliophyta: Arecaceae, climber,extinct,,
114,Calamus javensis, Blume, Magnoliophyta: Arecaceae, climber,extinct,,
115,Calamus luridus, Becc., Magnoliophyta: Arecaceae, climber,extinct,,
116,Calamus ornatus, Becc., Magnoliophyta: Arecaceae, climber,extinct,,
117,Callerya dasyphylla, (Miq.) Schot, Magnoliophyta: Fabaceae, climber,extinct,,
118,Callicarpa maingayi, King & Gamble, Magnoliophyta: Lamiaceae, tree,extinct,,
119,Calophyllum biflorum, Hend. & Wyatt-Smith, Magnoliophyta: Clusiaceae, tree,extinct,,
120,Calophyllum calaba, L. var. bracteatum (Wight) P. F. Stevens, Magnoliophyta: Clusiaceae, tree,extinct,,
121,Calophyllum costulatum, Hend. & Wyatt-Smith, Magnoliophyta: Clusiaceae, tree,extinct,,
122,Canthium molle, King & Gamble, Magnoliophyta: Rubiaceae, climber,extinct,,
123,Cantleya corniculata, (Becc.) Howard, Magnoliophyta: Stemonuraceae, tree,extinct,,
124,Casearia clarkei, King var. clarkei, Magnoliophyta: Salicaceae, tree,extinct,,
125,Casearia tuberculata, Blume, Magnoliophyta: Salicaceae, tree,extinct,,
126,Castanopsis javanica, (Blume) A. DC., Magnoliophyta: Fagaceae, tree,extinct,,
127,Cephalomanes superbum, (Backh. ex T. Moore) I.M. Turner, Filicinophyta: Hymenophyllaceae, herb,extinct,,
128,Ceratolobus subangulatus, (Miq.) Becc., Magnoliophyta: Arecaceae, climber,extinct,,
129,Ceratostylis subulata, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
130,Chassalia pubescens, Ridl., Magnoliophyta: Rubiaceae, shrub,extinct,,
131,Cheilocostus globosus, (Blume) C. Specht, Magnoliophyta: Costaceae, herb,extinct,, =Costus globosus Blume var. ridleyi (K. Schum.) Holttum
