Family,PL_output_name,Authority,extant as of 2015? (pers.obs.),comment
Leguminosae,Acacia kekapur,I.C.Nielsen,yes (ys),
Acanthaceae,Acanthus ebracteatus,Vahl,yes (ys),
Acanthaceae,Acanthus ilicifolius,L.,yes (ys),
Acanthaceae,Acanthus volubilis,Wall.,yes (ys),
Orchidaceae,Acriopsis liliifolia,(J.Koenig) Seidenf.,yes (2009 NIS),
Parkeriaceae,Acrostichum aureum,L.,yes (ys),
Parkeriaceae,Acrostichum speciosum,Willd.,yes (ys),
Phyllanthaceae,Actephila excelsa var. javanica,(Miq.) Pax & K.Hoffm.,yes (ys),
Lauraceae,Actinodaphne glomerata,(Blume) Nees,yes (ys),
Leguminosae,Adenanthera malayana,Kosterm.,yes (ys),
Passifloraceae,Adenia macrophylla (var. singaporeana),(Blume) Koord.,yes (ys),
Pentaphylacaceae,Adinandra dumosa,Jack,yes (ys),
Pentaphylacaceae,Adinandra integerrima,T.Anderson ex Dyer,yes (ys),
Gesneriaceae,Aeschynanthus albidus,(Blume) Steud.,yes (2008 NIS),
Gesneriaceae,Aeschynanthus parvifolius,R.Br.,yes (ys),
Gesneriaceae,Aeschynanthus radicans,Jack,yes (ys),
Connaraceae,Agelaea borneensis,(Hook.f.) Merr.,yes (ys),
Connaraceae,Agelaea macrophylla,(Zoll.) Leenh.,yes (ys),
Meliaceae,Aglaia elliptica,(C.DC.) Blume,yes (Wei Wei),
Meliaceae,Aglaia erythrosperma,Pannell,yes (Wei Wei),
Meliaceae,Aglaia meliosmoides,Craib,yes (Wei Wei),
Meliaceae,Aglaia odoratissima,Blume,yes (Wei Wei),
Meliaceae,Aglaia rufinervis,(Blume) Bentv.,yes (ys),
Meliaceae,Aglaia tenuicaulis,Hiern,yes (Wei Wei),
Meliaceae,Aglaia yzermannii,Boerl. & Koord,yes (Wei Wei),
Araceae,Aglaonema nebulosum,N.E.Br.,yes (comment),"w-added, found specimens under the synonym Aglaonema pictum"
Araceae,Aglaonema nitidum,(Jack) Kunth,yes (ys),
Araceae,Aglaonema simplex,(Blume) Blume,yes (ys),
Euphorbiaceae,Agrostistachys borneensis,Becc.,yes (ys),
Rubiaceae,Aidia auriculata,(Wall.) Ridsdale,yes (ys),
Rubiaceae,Aidia densiflora,(Wall.) Masam.,yes (ys),
Simaroubaceae,Ailanthus integrifolia,Lam.,yes (ys),
Cornaceae,Alangium longiflorum,Merr.,yes (ys),
Leguminosae,Albizia splendens,Miq.,yes (Wei Wei),
Euphorbiaceae,Alchornea villosa,(Benth.) Müll.Arg.,yes (ys),
Sapindaceae,Allophylus cobbe,(L.) Raeusch.,yes (ys),
Araceae,Alocasia longiloba,Miq.,yes (ys),
