standardise name,family
acacia concinna,Fabaceae
acacia kekapur,Fabaceae
acanthus ebracteatus,Acanthaceae
acanthus ilicifolius,Acanthaceae
acanthus volubilis,Acanthaceae
acer laurinum,Sapindaceae
acriopsis liliifolia,Orchidaceae
acriopsis ridleyi,Orchidaceae
acrostichum aureum,Pteridaceae
acrostichum speciosum,Pteridaceae
actephila excelsa var. javanica,Phyllanthaceae
actinodaphne glomerata,Lauraceae
actinodaphne macrophylla,Lauraceae
actinodaphne malaccensis,Lauraceae
actinodaphne pruinosa,Lauraceae
actinoscirpus grossus,Cyperaceae
adenanthera malayana,Fabaceae
adenia cordifolia,Passifloraceae
adenia macrophylla var. singaporeana,Passifloraceae
adenoncos major,Orchidaceae
adenoncos sumatrana,Orchidaceae
adenosma javanicum,Plantaginaceae
adiantum flabellulatum,Adiantaceae
adiantum hispidulum,Adiantaceae
adiantum stenochlamys,Adiantaceae
adinandra acuminata,Pentaphylacaceae
adinandra dumosa,Pentaphylacaceae
adinandra integerrima,Pentaphylacaceae
aegiceras corniculatum,Myrsinaceae
aeschynanthus albidus,Gesneriaceae
aeschynanthus parvifolius,Gesneriaceae
aeschynanthus radicans,Gesneriaceae
aeschynanthus wallichii,Gesneriaceae
aganope heptaphylla,Fabaceae
aganope thyrsiflora,Fabaceae
agapetes leptantha,Ericaceae
agelaea borneensis,Connaraceae
agelaea macrophylla,Connaraceae
aglaia crassinervia,Meliaceae
aglaia cucullata,Meliaceae
aglaia edulis,Meliaceae
aglaia elliptica,Meliaceae
aglaia erythrosperma,Meliaceae
aglaia exstipulata,Meliaceae
aglaia lawii subsp. oligocarpa,Meliaceae
aglaia leptantha,Meliaceae
aglaia macrocarpa,Meliaceae
aglaia meliosmoides,Meliaceae
aglaia multinervis,Meliaceae
aglaia odoratissima,Meliaceae
aglaia oligophylla,Meliaceae
aglaia palembanica,Meliaceae
aglaia rubiginosa,Meliaceae
aglaia rufinervis,Meliaceae
aglaia teysmanniana,Meliaceae
aglaia tomentosa subsp. cordata,Meliaceae
aglaomorpha speciosa,Polypodiaceae
aglaonema nebulosum,Araceae
aglaonema nitidum,Araceae
aglaonema simplex,Araceae
agrostistachys borneensis,Euphorbiaceae
agrostistachys gaudichaudii,Euphorbiaceae
agrostistachys sessilifolia,Euphorbiaceae
agrostophyllum majus,Orchidaceae
agrostophyllum stipulatum,Orchidaceae
aidia auriculata,Rubiaceae
aidia densiflora,Rubiaceae
ailanthus integrifolia,Simaroubaceae
alangium javanicum,Cornaceae
alangium longiflorum,Cornaceae
alangium nobile,Cornaceae
alangium ridleyi,Cornaceae
alangium salviifolium,Cornaceae
alangium uniloculare,Cornaceae
albertisia crassa,Menispermaceae
albizia pedicellata,Fabaceae
albizia retusa,Fabaceae
albizia splendens,Fabaceae
alchornea rugosa,Euphorbiaceae
alchornea villosa,Euphorbiaceae
allantodia aspera,Woodsiaceae
allmania nodiflora,Amaranthaceae
allophylus cobbe,Sapindaceae
alocasia longiloba,Araceae
alphonsea johorensis,Annonaceae
alphonsea maingayi,Annonaceae
alpinia aquatica,Zingiberaceae
alpinia conchigera,Zingiberaceae
alpinia rafflesiana,Zingiberaceae
alseodaphne bancana,Lauraceae
alseodaphne nigrescens,Lauraceae
alseodaphne oblanceolata,Lauraceae
alstonia angustifolia,Apocynaceae
alstonia angustiloba,Apocynaceae
alstonia pneumatophora,Apocynaceae
alstonia spatulata,Apocynaceae
alyxia reinwardtii,Apocynaceae
amischotolype gracilis,Commelinaceae
amischotolype mollissima,Commelinaceae
amomum hastilabium,Zingiberaceae
amomum xanthophlebium,Zingiberaceae
amorphophallus prainii,Araceae
ampelocissus ascendiflora,Vitaceae
ampelocissus elegans,Vitaceae
ampelocissus gracilis,Vitaceae
ampelocissus polystachya,Vitaceae
ampelocissus thyrsiflora,Vitaceae
amphineuron opulentum,Thelypteridaceae
amydrium medium,Araceae
amylotheca duthieana,Loranthaceae
anacolosa frutescens,Olacaceae
anadendrum microstachyum,Araceae
anaxagorea javanica,Annonaceae
ancistrocladus tectorius,Ancistrocladaceae
angiopteris evecta,Marattiaceae
anisophyllea disticha,Anisophyllaceae
anisophyllea griffithii,Anisophyllaceae
anisoptera costata,Dipterocarpaceae
anisoptera laevis,Dipterocarpaceae
anisoptera megistocarpa,Dipterocarpaceae
anodendron candolleanum,Apocynaceae
anoectochilus geniculatus,Orchidaceae
antiaris toxicaria,Moraceae
antidesma coriaceum,Phyllanthaceae
antidesma cuspidatum,Phyllanthaceae
antidesma neurocarpum,Phyllanthaceae
antidesma velutinosum,Phyllanthaceae
antrophyum callifolium,Vittariaceae
antrophyum parvulum,Vittariaceae
aphanamixis polystachya,Meliaceae
aphyllorchis pallida,Orchidaceae
aporosa benthamiana,Phyllanthaceae
aporosa confusa,Phyllanthaceae
aporosa falcifera,Phyllanthaceae
aporosa frutescens,Phyllanthaceae
