family,species,first,last,P-value,lifeform,Chong 2009 status,cultivated ,decision on classification,comments on decision,
Acanthaceae,Acanthus volubilis,1889,2003,0.0847,shrub,vulnerable,,extant,The taxonomic expert cites a specimen collected in 2014. Photographed by Ria Tan https://singapore.biodiversity.online/species/P-Angi-001948,
Plantaginaceae,Adenosma javanicum,1894,1995,0.0521,herb,common,,extant,,
Fabaceae,Albizia splendens,1893,1994,0.0195,tree,endangered,cultivated,extant,Confirmed by Chong,
Apocynaceae,Alstonia angustifolia,1822,2003,0.0189,tree,common,cultivated,extant,,
Annonaceae,Anaxagorea javanica,1916,2001,0.0978,tree,critically endangered,cultivated,extinct,Cultivated only. Paul Leong (from SING) thinks this is now cultivated only. Photographed by Yi Shuen https://singapore.biodiversity.online/species/P-Angi-001198,
Dipterocarpaceae,Anisoptera megistocarpa,1894,2005,0.0367,tree,critically endangered,,extant,Photograph by Louise Neo https://singapore.biodiversity.online/species/P-Angi-003137,
Meliaceae,Aphanamixis polystachya,1884,2005,0.0531,tree,endangered,cultivated,extant,Confirmed by Chong,
Fabaceae,Archidendron jiringa,1822,2003,0.0317,tree,vulnerable,cultivated,extant,Confirmed by Chong,
Phyllanthaceae,Baccaurea brevipes,1995,1996,0.0644,tree,critically endangered,,extinct,Unable to get info. Only two specimens exist and no specialists have confirmed their identity.,
Rhizophoraceae,Bruguiera gymnorhiza,1885,2006,0.023,tree,common,cultivated,extant,,
Arecaceae,Calamus lobbianus,1889,1992,0.0451,tree,critically endangered,,extant,Loo et al. (2014) 54,
Arecaceae,Calamus oxleyanus,1890,1999,0.0481,climber,critically endangered,,extant,"Loo et al. (2014) 54, 124 (photograph), 125 (photograph), 126",
Clusiaceae,Calophyllum sundaicum,1822,1994,0.0867,tree,critically endangered,,extant,There appears to be at least one tall tree of this species in CCNR.,
Ochnaceae,Campylospermum serratum,1822,2005,0.0279,tree,common,,extant,,
Fagaceae,Castanopsis wallichii,1884,2003,0.0579,tree,critically endangered,cultivated,extant,Confirmed by Chong,
Rhizophoraceae,Ceriops tagal,1889,2006,0.0479,tree,vulnerable,,extant,Confirmed by Chong,
Combretaceae,Combretum tetralophum,1996,1997,0.0511,climber,critically endangered,,extant,,
Malvaceae,Commersonia bartramia,1857,2004,0.0145,tree,common,,extant,,
Arecaceae,Daemonorops angustifolia,1890,1996,0.0453,climber,vulnerable,,extant,"Loo et al. (2014) 54, 127 (photograph), 128 (photograph), 129 AND Photograph by Wee Foong Ang https://singapore.biodiversity.online/species/P-Angi-000168",
