acanthus ilicifolius
acrostichum aureum
acrostichum speciosum
actinoscirpus grossus
adenosma javanicum
adinandra dumosa
aglaonema simplex
agrostistachys borneensis
allmania nodiflora
allophylus cobbe
alocasia longiloba
alstonia angustifolia
alstonia angustiloba
alyxia reinwardtii
amischotolype gracilis
anisophyllea disticha
antidesma cuspidatum
aporosa frutescens
aporosa symplocoides
archidendron clypearia
ardisia sanguinolenta
arthrophyllum diversifolium
artocarpus elasticus
arundina graminifolia
asplenium longissimum
asplenium nidus
avicennia alba
avicennia officinalis
avicennia rumphiana
baccaurea parviflora
bhesa paniculata
blechnum orientale
blumea riparia
breynia racemosa
breynia vitis-idaea
bridelia tomentosa
bromheadia finlaysoniana
bruguiera cylindrica
bruguiera gymnorhiza
buchanania arborescens
bulbostylis barbata
bulbostylis puberula
burmannia coelestis
calophyllum ferrugineum
calophyllum pulcherrimum
campnosperma auriculatum
campnosperma squamatum
campylospermum serratum
canarium littorale
canavalia cathartica
canavalia rosea
caryota mitis
cassytha filiformis
casuarina equisetifolia
centella asiatica
champereia manillana
cheilocostus speciosus
christella arida
christella subpubescens
chrysopogon aciculatus
cinnamomum iners
claoxylon indicum
clausena excavata
clerodendrum disparifolium
clerodendrum inerme
cnestis palala
colubrina asiatica
commersonia bartramia
croton caudatus
cyathocalyx ramuliflorus
cyathula prostrata
cyclosorus interruptus
cynodon dactylon
cyperus compactus
cyperus digitatus
cyperus dubius
cyperus javanicus
cyperus malaccensis
cyperus procerus
cyperus radians
cyperus stoloniferus
cyperus tenuiculmis
dactyloctenium aegyptium
dalbergia candenatensis
dalbergia rostrata
davallia denticulata
dendrobium crumenatum
dendrolobium umbellatum
dendrophthoe pentandra
derris trifoliata
dianella ensifolia
dicranopteris curranii
dicranopteris linearis
digitaria bicornis
digitaria fuscescens
digitaria longiflora
digitaria mollicoma
dillenia suffruticosa
dimeria ornithopoda
dioscorea laurifolia
dioscorea pyrifolia
diospyros lanceifolia
dischidia major
dischidia nummularia
dracaena porteri
drynaria quercifolia
drynaria sparsisora
dyera costulata
elaeocarpus ferrugineus
elaeocarpus mastersii
elaeocarpus pedunculatus
elaeocarpus petiolatus
eleocharis dulcis
eleocharis spiralis
embelia lampanii
embelia ribes
entada spiralis
epipremnum giganteum
eragrostis atrovirens
eragrostis montana
eragrostis unioloides
erycibe tomentosa
erythroxylum cuneatum
eurya acuminata
evolvulus alsinoides
excoecaria agallocha
fagraea fragrans
fibraurea tinctoria
ficus caulocarpa
ficus fistulosa
ficus grossularioides
ficus heteropleura
ficus microcarpa
ficus punctata
ficus variegata
fimbristylis complanata
fimbristylis cymosa
fimbristylis ferruginea
fimbristylis leptoclada
flagellaria indica
floscopa scandens
freycinetia sumatrana
friesodielsia latifolia
gahnia tristis
garcinia parvifolia
gironniera nervosa
glochidion superbum
gluta wallichii
gmelina asiatica
gymnanthera oblonga
gynochthodes sublanceolata
gynotroches axillaris
hedyotis auricularia
heteropogon contortus
hoya verticillata
hydrocotyle sibthorpioides
hymenachne amplexicaulis
hypolytrum nemorum var. proliferum
ilex cymosa
imperata conferta
indorouchera griffithiana
iodes velutina
ipomoea littoralis
ipomoea marginata
ipomoea mauritiana
ipomoea obscura
ipomoea pes-caprae
ipomoea pes-tigridis
ipomoea violacea
isachne kunthiana
isachne minutula
ischaemum magnum
ischaemum muticum
ixonanthes reticulata
ixora congesta
lecanopteris sinuosa
leea indica
lemna tenera
lepisanthes rubiginosa
lepturus repens
licania splendens
lindernia anagallis
lindsaea ensifolia
lipocarpha chinensis
litsea elliptica
lobelia zeylanica
lophatherum gracile
lycopodiella cernua
lygodium flexuosum
lygodium microphyllum
lygodium salicifolium
macaranga bancana
macaranga conifera
macaranga gigantea
macaranga heynei
macaranga hypoleuca
macrosolen cochinchinensis
macrosolen retusus
maesa ramentacea
mallotus paniculatus
melastoma malabathricum
merremia hederacea
micrococca mercurialis
microdesmis caseariifolia
microlepia speluncae
microsorum punctatum
mitrella kentii
morella esculenta
morinda umbellata
murdannia vaginata
nepenthes gracilis
nephrolepis falcata
nephrolepis radicans
nothaphoebe umbelliflora
ophioglossum nudicaule
ophioglossum reticulatum
ottochloa nodosa
paederia foetida
pandanus odorifer
panicum luzonense
panicum repens
panicum sarmentosum
paspalum longifolium
paspalum vaginatum
perotis indica
phymatosorus nigrescens
phymatosorus scolopendria
piper caninum
piper sarmentosum
platycerium coronarium
pleocnemia irregularis
ploiarium alternifolium
pluchea indica
pogonatherum crinitum
premna serratifolia
pronephrium repandum
pronephrium triphyllum
prunus polystachya
psilotum nudum
pteridium aquilinum
pteris multifida
pycreus polystachyos
pycreus pumilus
pyrrosia lanceolata
pyrrosia longifolia
pyrrosia piloselloides
remirea maritima
rhizophora apiculata
rhizophora mucronata
rhodamnia cinerea
rhodomyrtus tomentosa
rhynchospora rugosa
santiria apiculata
santiria griffithii
sauropus androgynus
scaevola taccada
scindapsus hederaceus
scindapsus pictus
scleria ciliaris
scleria poiformis
scleria purpurascens
scurrula ferruginea
scyphiphora hydrophylacea
selaginella ciliaris
sesuvium portulacastrum
setaria parviflora
sida cordifolia
smilax setosa
sonneratia alba
spathoglottis plicata
spatholobus ferrugineus
sphaerostephanos heterocarpus
sporobolus indicus
sporobolus virginicus
stenochlaena palustris
syzygium borneense
syzygium grande
syzygium lineatum
syzygium zeylanicum
taenitis blechnoides
talipariti tiliaceum
tectaria barberi
tectaria singaporiana
terminalia catappa
tetracera indica
themeda villosa
thespesia populnea
thuarea involuta
timonius wallichianus
trema cannabina
trema tomentosa
triadica cochinchinensis
tylophora flexuosa
uvaria cordata
vigna marina
viscum articulatum
viscum ovalifolium
vitex pinnata
vittaria elongata
vittaria ensiformis
wollastonia biflora
xenostegia tridentata
ximenia americana
xylocarpus granatum
xylopia ferruginea
xylopia malayana
zanthoxylum nitidum
zoysia matrella
