standard name
acacia concinna,2013
acacia kekapur,1884,1885,1890,1892,1894,2007,2012
acanthus ebracteatus,1893,1894,1896,1899,1921,1930,1948,1949,1955,1959,1960,1965,1978,1979,1980,1985,1990,1991,1992,1994,1995,1996,1997,1999,2000,2001,2002,2003,2004,2006,2010,2011
acanthus ilicifolius,1896,1954,1957,1965,1970,1985,1992,1994,1995,1997,1998,1999,2003,2010,2011
acanthus volubilis,1889,1908,1965,1974,1990,1992,1994,1995,1996,1997,1998,1999,2000,2003
acer laurinum,2010
acriopsis liliifolia,1822,1884,1889,1890,1892,1949
acriopsis ridleyi,1889
acrostichum aureum,1860,1886,1894,1900,1910,1952,1955,1965,1973,1974,1981,1987,2002,2003
acrostichum speciosum,1866,1882,1892,1906,1916,1963,1965,1977,2001,2003,2007,2010
actephila excelsa var. javanica,1884,1894,1895,1896,1897,1958,1960,1970,1973,1981,1983,1995,1998,2004,2009,2012
actinodaphne glomerata,1894,1900,1906,1995
actinodaphne macrophylla,1898,1940,2009
actinodaphne malaccensis,1882,1885,1897,1960,2003,2008
actinodaphne pruinosa,1884,1891,1956,1958,1991,2003,2009
actinoscirpus grossus,1892,1955
adenanthera malayana,1884,1889,1890,1932,1939,1996,2003
adenia cordifolia,1900,2013
adenia macrophylla var. singaporeana,1822,1884,1889,1890,1891,1892,1893,1896,1904,1917,1920,1921,1937,1948,1955,1961,1965,1966,1981,1991,1992,1993,1997,2007,2010,2011,2012
adenoncos major,1927
adenoncos sumatrana,1889
adenosma javanicum,1894,1895,1932,1951,1955,1969,1980,1995
adiantum flabellulatum,1891,1892,1899,2001,2002
adiantum hispidulum,1881,1899,1904,1978,2002,2010
adiantum stenochlamys,1910
adinandra acuminata,1890,1892,1893,1894,1897,1917,1938,1955,1957,1958,1960,1961,1982
adinandra dumosa,1822,1889,1890,1910,1920,1921,1930,1948,1955,1956,1958,1961,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1981,1983,1986,1988,1990,1991,1992,1993,1994,1996,2000,2001,2002,2003,2004,2006,2007,2016
adinandra integerrima,1889,1890,1892,1906,2008
aegiceras corniculatum,1884,1890,1892,1894,1896,1900,1943,1949,1956,1961,1965,1969,1973,1981,1985,1994,1996,1998,1999,2004,2007,2010,2011
aeschynanthus albidus,1889,1890,1891,1892,1894,2007,2013
aeschynanthus parvifolius,1889,1890,1891,1892,1920,1964,1974,2009,2010,2012,2013
aeschynanthus radicans,1822,1891,1894,1898,1908,1909,1931
aeschynanthus wallichii,1830,1889,1890,1891,1892,1894,1937,1948,1982,1992,1995,2013
aganope heptaphylla,1885,1891,1892,1893,1895,1907,1915,1920,1921,1949,1961,1967,2000,2004,2007,2010,2013
aganope thyrsiflora,1883,1884,1890,1891,1894,1899,1904,1917,1921,1924,1968,1976,1977,1978,1981,1994,1995,1997,1998,2002,2003,2010
agapetes leptantha,1894
agelaea borneensis,1881,1884,1889,1890,1892,1893,1894,1900,1955,1964,1966,1977,1981,1982,1983,1997,2000,2001,2003,2005,2008,2009,2010,2011,2012,2013
