standard name,first detection,last detection,no. detns,expert extant?,chong common?
acacia concinna,2013,2013,1,,
acacia kekapur,1884,2012,7,yes,
acanthus ebracteatus,1893,2011,32,yes,
acanthus ilicifolius,1896,2011,15,yes,yes
acanthus volubilis,1889,2003,14,yes,
acer laurinum,2010,2010,1,,
acriopsis liliifolia,1822,1949,6,yes,
acriopsis ridleyi,1889,1889,1,yes,
acrostichum aureum,1860,2003,14,yes,yes
acrostichum speciosum,1866,2010,12,yes,yes
actephila excelsa var. javanica,1884,2012,16,yes,
actinodaphne glomerata,1894,1995,4,yes,
actinodaphne macrophylla,1898,2009,3,,
actinodaphne malaccensis,1882,2008,6,,
actinodaphne pruinosa,1884,2009,7,,
actinoscirpus grossus,1892,1955,2,,yes
adenanthera malayana,1884,2003,7,yes,
adenia cordifolia,1900,2013,2,,
adenia macrophylla var. singaporeana,1822,2012,27,yes,
adenoncos major,1927,1927,1,,
adenoncos sumatrana,1889,1889,1,,
adenosma javanicum,1894,1995,8,,yes
adiantum flabellulatum,1891,2002,5,,
adiantum hispidulum,1881,2010,6,,
adiantum stenochlamys,1910,1910,1,,
adinandra acuminata,1890,1982,13,,
adinandra dumosa,1822,2016,40,yes,yes
adinandra integerrima,1889,2008,5,yes,
aegiceras corniculatum,1884,2011,23,,
aeschynanthus albidus,1889,2013,7,yes,
aeschynanthus parvifolius,1889,2013,11,yes,
aeschynanthus radicans,1822,1931,7,yes,
aeschynanthus wallichii,1830,2013,12,,
aganope heptaphylla,1885,2013,17,,
aganope thyrsiflora,1883,2010,22,,
agapetes leptantha,1894,1894,1,,
agelaea borneensis,1881,2013,26,yes,
agelaea macrophylla,1822,2012,17,yes,
aglaia crassinervia,1894,2009,4,,
aglaia cucullata,1892,2004,12,,
aglaia edulis,2010,2010,1,,
aglaia elliptica,1889,2010,6,yes,
aglaia erythrosperma,1944,1957,2,yes,
aglaia exstipulata,1963,1963,1,,
aglaia lawii subsp. oligocarpa,1917,1917,1,,
aglaia leptantha,1890,2010,12,,
aglaia macrocarpa,1867,2008,3,,
aglaia meliosmoides,1890,2003,5,yes,
aglaia multinervis,1941,2008,5,,
aglaia odoratissima,1893,2010,9,yes,
aglaia oligophylla,2009,2009,1,,
aglaia palembanica,1884,1918,3,yes,
aglaia rubiginosa,1892,2003,5,,
aglaia rufinervis,1892,2009,16,yes,
aglaia teysmanniana,2006,2006,1,,
aglaia tomentosa subsp. cordata,1884,1977,3,yes,
aglaomorpha speciosa,1822,1936,8,,
aglaonema nebulosum,1961,2015,3,yes,
aglaonema nitidum,1889,2005,9,yes,
aglaonema simplex,1889,2009,7,yes,yes
agrostistachys borneensis,1884,2003,11,yes,yes
agrostistachys gaudichaudii,1885,1904,5,yes,
agrostistachys sessilifolia,1948,1982,12,,
agrostophyllum majus,1889,1900,4,,
agrostophyllum stipulatum,1888,2004,5,,
aidia auriculata,1884,2013,4,yes,
aidia densiflora,1889,2012,22,yes,
ailanthus integrifolia,1941,1941,1,yes,
alangium javanicum,1893,2002,2,,
alangium longiflorum,2003,2012,4,yes,
alangium nobile,1893,2004,4,,
alangium ridleyi,1880,2003,6,,
alangium salviifolium,1894,1966,3,,
alangium uniloculare,1892,2012,5,,
albertisia crassa,2010,2014,2,,
albizia pedicellata,1996,1996,1,,
albizia retusa,1893,2012,4,,
albizia splendens,1893,1994,11,yes,
alchornea rugosa,1884,1914,5,,
alchornea villosa,1884,2013,14,yes,
allantodia aspera,1842,1924,3,,
allmania nodiflora,1955,2003,4,,yes
allophylus cobbe,1884,2010,27,yes,yes
alocasia longiloba,1889,2012,17,yes,yes
alphonsea johorensis,1953,2010,4,,
alphonsea maingayi,1894,2010,4,,
alpinia aquatica,1889,2011,17,yes,
alpinia conchigera,1900,1907,2,yes,
alpinia rafflesiana,1889,1897,4,yes,
alseodaphne bancana,1884,2010,10,,
alseodaphne nigrescens,2004,2008,2,,
alseodaphne oblanceolata,1937,1971,4,yes,
alstonia angustifolia,1822,2003,26,yes,yes
alstonia angustiloba,1884,2010,22,yes,yes
alstonia pneumatophora,1994,2013,5,yes,
alstonia spatulata,1953,2012,10,yes,
alyxia reinwardtii,1831,2010,18,yes,yes
amischotolype gracilis,1849,2010,7,yes,yes
amischotolype mollissima,1822,2005,7,,
amomum hastilabium,1889,1900,4,yes,
amomum xanthophlebium,1889,1908,7,yes,
amorphophallus prainii,1904,1904,1,,
ampelocissus ascendiflora,1890,2012,7,yes,
ampelocissus elegans,1875,2012,38,yes,
ampelocissus gracilis,1836,2013,21,yes,
ampelocissus polystachya,1950,2010,7,yes,
