year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1822,183,0,2234.5899,0.0,2140.975,2351.0,0.0,0.0
1829,182,7,2137.9208,90.6691,2072.0,2220.0,34.0,174.0
1836,221,8,2080.8496,107.7403,2021.0,2153.0,43.0,199.0
1840,245,11,2021.342,140.2479,1973.0,2079.0,65.0,240.0
1867,329,12,1924.5811,152.0088,1881.0,1976.0,74.0,254.02499999999964
1879,352,13,1892.2404,160.3495,1851.0,1939.0,80.0,265.0
1882,429,14,1806.7319,167.858,1768.0,1850.0,86.0,275.0
1883,442,15,1786.9367,173.6532,1750.0,1829.0,90.0,281.02499999999964
1884,684,16,1538.3692,179.2207,1503.0,1578.0,94.0,288.0
1885,729,19,1482.8853,186.7046,1448.0,1520.0,101.0,296.0
1887,756,20,1452.33,189.2599,1418.0,1489.0,103.0,298.0
1889,984,23,1215.1131,195.4768,1182.0,1250.0,109.0,304.0
1890,1137,30,1046.2941,204.2958,1015.0,1081.0,117.0,314.0
1891,1194,39,972.0512,212.5387,942.0,1005.0,125.0,322.02499999999964
1892,1282,57,851.5101,227.0798,824.0,882.0,138.0,338.0
1893,1335,77,765.2875,240.3024,739.0,793.0249999999996,151.0,352.0
1894,1452,94,621.7628,249.8271,597.0,648.0,160.0,362.0
1895,1425,131,596.1382,265.4517,574.0,620.0,175.0,378.0
1896,1435,136,579.3017,267.2882,558.0,603.0,176.0,380.0
1897,1437,142,569.1734,269.4165,548.0,592.0,178.0,382.0
1898,1447,149,549.6945,271.8954,530.0,572.0,180.0,385.0
1899,1456,159,527.1801,275.4098,508.0,549.0,184.0,388.0
1900,1489,169,480.9194,278.6705,462.0,502.0,187.0,391.02499999999964
1901,1454,206,467.2798,290.3101,450.0,486.0,198.0,404.0
1902,1452,209,465.5402,291.0497,449.0,484.0,198.0,404.0
1903,1454,210,462.4851,291.1048,446.0,481.0,199.0,405.0
1904,1466,215,444.2235,292.3664,428.0,463.0,200.0,406.0
1905,1461,222,440.425,294.1649,425.0,458.0,201.0,408.0
1906,1465,224,434.1432,294.4467,418.0,452.0,201.0,409.0
1907,1458,233,429.798,296.7919,415.0,447.0,203.0,411.0
1908,1455,241,422.7935,298.7964,408.0,439.0,206.0,413.0
1909,1452,248,417.1248,300.4651,403.0,433.0,207.0,414.0
1910,1446,259,409.2776,303.3123,396.0,425.0,210.0,418.0
1911,1443,263,407.4489,304.141,394.0,423.0,211.0,419.0
1913,1438,268,406.3224,305.2675,394.0,421.0,212.0,420.0
1914,1437,269,406.2746,305.3153,394.0,421.0,212.0,420.02499999999964
1917,1442,272,397.7532,305.8367,385.0,412.0,212.0,421.0
1918,1444,276,390.9859,306.604,379.0,406.0,213.0,422.02499999999964
1919,1433,288,387.0643,309.5256,376.0,401.0,216.0,424.0
1920,1433,289,385.9277,309.6622,375.0,400.0,217.0,424.0
1921,1436,290,381.8323,309.7576,371.0,395.0,217.0,424.02499999999964
1924,1439,291,377.8722,309.7177,367.0,391.0,217.0,424.0
1925,1432,300,373.8233,311.7666,363.0,387.0,218.97500000000002,427.0
1926,1431,301,373.7233,311.8666,364.0,387.0,218.97500000000002,427.0
1927,1430,303,372.4064,312.1835,362.0,385.0,219.0,428.0
1928,1429,304,372.3682,312.2217,362.0,385.0,219.0,428.0
1929,1428,307,369.8596,312.7303,360.0,382.0,219.0,428.0
1930,1428,310,366.3404,313.2495,357.0,379.0,220.0,429.0
1931,1426,314,363.5713,314.0186,354.0,376.0,221.0,430.0
1932,1437,315,351.652,313.9379,342.0,364.0,221.0,430.0
1933,1439,323,340.0466,315.5433,331.0,351.0,222.0,431.0
1935,1437,330,333.7057,316.8842,325.0,344.0,223.0,432.0
1936,1442,331,327.6803,316.9096,319.0,338.0,223.0,432.0
1937,1448,334,318.2472,317.3427,310.0,329.0,224.0,432.0
1938,1458,336,306.0587,317.5312,298.0,316.0,224.0,432.02499999999964
1939,1460,340,299.4833,318.1066,292.0,309.0,224.0,433.0
1940,1474,342,283.3354,318.2545,276.0,293.0,224.0,433.0
1941,1478,347,273.6616,318.9283,266.0,283.0,225.0,435.0
1942,1474,351,273.159,319.4309,266.0,282.0,225.97500000000002,434.02499999999964
1943,1476,352,270.1884,319.4015,263.0,279.0,225.0,435.0
1944,1473,356,268.7552,319.8347,262.0,278.0,225.97500000000002,435.02499999999964
