year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1822,183,0,5909.1985,0.0,4751.0,7474.025,0.0,0.0
1829,182,7,4796.3864,1106.8121,4038.0,5804.0,427.975,2127.0249999999996
1836,221,8,4548.8119,1314.3866,3877.0,5424.025,544.975,2485.0249999999996
1840,245,11,4153.9937,1682.2048,3625.9249999999997,4830.0,786.0,2989.0999999999985
1867,329,12,3935.7162,1815.4823,3454.0,4533.025,884.0,3174.0499999999993
1879,352,13,3816.6268,1910.5717,3365.0,4373.0,951.0,3293.0999999999985
1882,429,14,3650.5324,1998.6661,3224.0,4161.025,1021.0,3401.0
1883,442,15,3569.308,2065.8905,3165.0,4050.0,1073.0,3490.0
1884,684,16,3262.2418,2129.9567,2878.9750000000004,3718.0249999999996,1128.975,3571.074999999999
1885,729,19,3125.9931,2218.2054,2762.9750000000004,3563.0,1207.0,3675.074999999999
1887,756,20,3064.235,2251.9635,2712.0,3480.074999999999,1235.0,3710.074999999999
1889,984,23,2757.784,2327.4145,2420.0,3156.0249999999996,1306.0,3789.074999999999
1890,1137,30,2487.552,2437.6465,2171.0,2860.0249999999996,1404.0,3902.124999999998
1891,1194,39,2312.9973,2546.2012,2022.0,2660.0249999999996,1497.0,4021.0
1892,1282,57,2025.1874,2728.0111,1765.0,2332.0,1665.0,4215.049999999999
1893,1335,77,1788.1923,2892.0062,1555.0,2059.0,1811.95,4382.049999999999
1894,1452,94,1533.9166,3012.2819,1324.0,1780.0,1928.0,4514.025
1895,1425,131,1331.1199,3205.0786,1157.0,1536.0,2106.9750000000004,4710.074999999999
1896,1435,136,1289.0255,3232.173,1120.0,1488.0,2132.0,4740.0
1897,1437,142,1250.4568,3262.7417,1087.0,1442.0249999999996,2161.0,4769.025
1898,1447,149,1199.3679,3296.8306,1044.0,1384.0,2198.9,4801.0
1899,1456,159,1135.0571,3342.1414,988.0,1307.0249999999996,2237.0,4859.0
1900,1489,169,1049.1548,3385.0437,909.0,1213.0,2271.0,4902.0
1901,1454,206,918.4291,3513.7694,804.0,1053.0,2393.0,5043.0
1902,1452,209,906.1187,3525.0798,793.0,1038.0,2402.9750000000004,5057.049999999999
1903,1454,210,898.6333,3529.5652,787.0,1031.0,2408.0,5065.049999999999
1904,1466,215,863.9667,3547.2318,756.0,991.0,2422.9750000000004,5080.0
1905,1461,222,838.8578,3570.3407,734.0,960.0,2445.0,5105.049999999999
1906,1465,224,825.4502,3577.7483,723.0,945.0,2450.9750000000004,5112.074999999999
1907,1458,233,795.4408,3605.7577,698.0,909.0249999999996,2476.0,5139.025
1908,1455,241,766.3531,3629.8454,674.0,874.0249999999996,2499.0,5166.0
1909,1452,248,741.8043,3650.3942,653.0,846.0,2517.9500000000003,5186.025
1910,1446,259,706.4079,3680.7906,624.0,803.0249999999996,2543.975,5218.049999999999
1911,1443,263,694.1119,3692.0866,614.0,788.0,2556.975,5230.074999999999
1913,1438,268,680.4744,3705.7241,603.0,771.0,2568.0,5246.025
1914,1437,269,677.189,3709.0095,601.0,766.0,2570.9750000000004,5252.025
1917,1442,272,660.6889,3717.5096,586.0,748.0,2577.95,5260.025
1918,1444,276,644.0232,3728.1753,571.0,729.0,2586.9750000000004,5272.074999999999
1919,1433,288,614.1843,3757.0142,548.0,692.0,2617.975,5299.049999999999
1920,1433,289,610.1904,3760.0081,544.0,686.0,2617.975,5302.025
1921,1436,290,603.1592,3763.0393,538.0,679.0,2620.0,5309.049999999999
1924,1439,291,596.2999,3765.8986,531.0,671.0,2624.975,5314.049999999999
1925,1432,300,573.98,3786.2185,513.0,645.0,2644.975,5333.0
1926,1431,301,571.1749,3789.0236,511.0,641.0,2647.0,5334.049999999999
1927,1430,303,565.2579,3793.9406,506.0,633.0249999999996,2652.95,5339.0
1928,1429,304,562.5314,3796.6671,504.0,630.0,2653.9750000000004,5342.0
1929,1428,307,553.6644,3803.5341,497.0,620.0,2660.975,5351.124999999998
1930,1428,310,543.8477,3810.3508,488.0,608.0,2667.0,5358.074999999999
1931,1426,314,533.1569,3819.0416,479.0,596.0,2675.0,5367.025
1932,1437,315,518.6298,3821.5687,465.0,580.0249999999996,2677.0,5372.025
1933,1439,323,492.8432,3837.3553,442.0,551.0,2689.975,5390.0
1935,1437,330,474.6545,3850.544,427.0,529.0,2700.975,5401.0
1936,1442,331,466.4803,3852.7182,419.0,520.0,2703.975,5404.025
1937,1448,334,451.8043,3858.3942,406.0,505.0,2709.0,5407.074999999999
1938,1458,336,436.0703,3862.1282,391.0,488.0,2714.9500000000003,5412.074999999999
1939,1460,340,423.4352,3868.7633,379.975,474.0,2718.9750000000004,5418.025
1940,1474,342,404.001,3872.1975,361.0,453.0,2724.0,5420.049999999999
1941,1478,347,387.3977,3879.8008,346.0,434.0,2729.975,5429.049999999999
1942,1474,351,381.5039,3885.6946,342.0,427.0,2736.975,5437.074999999999
1943,1476,352,376.8817,3887.3168,338.0,422.0,2739.95,5439.025
1944,1473,356,370.2039,3892.9946,332.0,413.0,2744.0,5444.0
1948,1475,358,363.265,3895.9335,326.0,406.0,2745.0,5448.0
1949,1479,362,349.729,3901.4695,314.0,391.0,2749.9750000000004,5453.025
1950,1482,368,332.935,3909.2635,299.0,372.0,2761.0,5461.174999999997
1951,1484,372,321.9554,3914.2431,290.0,360.0,2765.9500000000003,5469.074999999999
1952,1479,377,316.0494,3920.1491,285.0,352.0,2771.0,5477.049999999999
1953,1494,379,296.7061,3922.4924,266.0,333.0,2772.975,5477.025
1954,1487,393,275.1287,3937.0698,248.0,307.0,2785.975,5491.025
1955,1493,399,257.1887,3943.0098,232.0,287.0,2790.0,5497.074999999999
1956,1490,404,250.6069,3947.5916,226.0,279.0,2793.0,5502.0
1957,1493,407,241.9551,3950.2434,218.0,269.0,2796.925,5503.025
1958,1491,412,234.6157,3954.5828,212.0,261.0,2801.0,5505.049999999999
1959,1492,413,231.8169,3955.3816,210.0,258.0,2803.975,5506.0
1960,1489,417,227.478,3958.7205,206.0,253.0,2807.975,5512.025
1961,1492,418,222.6656,3959.5329,202.0,247.0,2808.95,5511.049999999999
1962,1489,421,220.3424,3961.8561,200.0,244.0,2810.9750000000004,5516.0
1963,1489,422,218.5718,3962.6267,199.0,242.0,2810.9750000000004,5516.049999999999
1964,1487,424,217.0531,3964.1454,198.0,240.0,2813.0,5519.0
1965,1489,425,213.3413,3964.8572,194.0,236.0,2813.9750000000004,5520.025
1966,1485,431,206.8106,3969.3879,189.0,228.0,2818.0,5524.0
1967,1484,433,204.3806,3970.8179,187.0,225.0,2819.0,5525.025
1968,1483,434,203.6471,3971.5514,187.0,224.0,2820.0,5527.0
1969,1485,435,199.9776,3972.2209,184.0,220.0,2820.0,5527.025
1970,1484,438,195.9083,3974.2902,180.0,215.0,2821.9750000000004,5527.025
1973,1481,444,188.7685,3978.43,175.0,206.0,2825.0,5532.0
1974,1481,445,187.1461,3979.0524,173.0,205.0,2825.95,5533.0
1975,1479,447,185.8727,3980.3258,172.0,203.0,2825.0,5534.049999999999
1976,1479,449,182.6236,3981.5749,170.0,199.0,2826.9750000000004,5536.025
1977,1477,452,179.7752,3983.4233,167.0,195.0,2827.0,5539.025
1978,1476,454,177.5606,3984.6379,166.0,192.0,2828.0,5541.049999999999
1980,1474,456,176.3425,3985.856,165.0,190.0,2830.0,5544.049999999999
1981,1484,457,164.8534,3986.3451,154.0,179.0,2831.0,5546.0
1982,1485,461,157.6739,3988.5246,148.0,170.0,2832.0,5548.025
1983,1476,472,149.7002,3994.4983,142.0,160.0,2838.9750000000004,5557.049999999999
1985,1475,475,146.2459,3995.9526,140.0,156.0,2840.0,5556.124999999998
1989,1475,476,144.7843,3996.4142,139.0,154.0,2841.975,5557.124999999998
1992,1492,477,126.3619,3996.8366,120.0,135.0,2842.0,5559.074999999999
1993,1493,479,122.6167,3997.5818,117.0,131.0,2842.0,5561.025
1994,1497,481,115.8968,3998.3017,111.0,123.0,2842.0,5563.0
1995,1498,482,113.643,3998.5555,109.0,121.0,2842.0,5562.025
1996,1509,484,100.0139,3999.1846,96.0,107.0,2842.0,5562.049999999999
1997,1510,486,96.5192,3999.6793,93.0,103.0,2842.0,5564.0
1998,1509,490,92.3529,4000.8456,90.0,98.0,2843.0,5564.049999999999
2001,1514,491,86.1372,4001.0613,84.0,91.0,2843.0,5563.0999999999985
2002,1518,492,80.9714,4001.2271,79.0,86.0,2843.0,5564.074999999999
2003,1527,493,70.8845,4001.314,69.0,75.0,2843.95,5565.025
2004,1527,497,66.1437,4002.0548,65.0,69.0,2844.0,5566.025
2007,1541,499,49.9564,4002.2421,49.0,52.0,2845.0,5566.025
2015,1589,501,0.0,4002.1985,0.0,0.0,2844.0,5567.025
