omega,N_mean,N_lo,N_hi,nreps
0.15,8467.3135,6519.95,11194.025,10000
0.19999999999999998,5463.8666,4511.975,6762.049999999999,10000
0.25,4323.2738,3709.0,5121.0,10000
0.3,3743.5209,3295.0,4321.025,10000
0.35,3399.2477,3057.0,3836.0249999999996,10000
0.39999999999999997,3164.0889,2886.0,3532.0,10000
0.44999999999999996,3003.3256,2760.0,3313.0249999999996,10000
0.5,2881.7336,2674.0,3145.0249999999996,10000
0.5499999999999999,2783.4005,2598.0,3019.0,10000
0.6,2712.8453,2547.0,2925.0,10000
0.6499999999999999,2650.8281,2500.0,2840.0,10000
0.7,2600.6442,2462.0,2774.0,10000
0.75,2557.3985,2429.0,2723.0,10000
0.7999999999999999,2521.9984,2403.0,2671.0,10000
0.85,2489.6845,2378.0,2626.0,10000
0.8999999999999999,2463.243,2360.0,2593.0,10000
0.95,2439.4529,2340.0,2562.0,10000
1,2409,2314,2527,10000
