year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1822,183,0,2957.9733,0.0,2833.0,3113.0,0.0,0.0
1829,183,6,2847.8571,104.1162,2751.0,2964.0,37.0,205.0
1836,222,7,2785.0292,126.9441,2696.0,2889.0,50.0,242.0
1840,246,10,2714.5114,170.4619,2640.0,2800.0,79.0,298.0
1867,330,11,2613.3703,186.603,2542.9750000000004,2694.0,90.0,317.0
1879,353,12,2578.1541,197.8192,2511.0,2653.0,99.0,330.02499999999964
1882,430,13,2489.5947,208.3786,2424.0,2561.0,106.97500000000002,342.0
1883,443,14,2467.2558,216.7175,2404.0,2536.0,112.0,352.0
1884,685,15,2216.3213,224.652,2156.0,2283.0,118.0,361.0
1885,730,18,2157.5458,235.4275,2098.0,2222.0,127.0,372.02499999999964
1887,757,19,2125.5399,239.4334,2067.0,2189.0,132.0,377.0
1889,984,22,1886.3404,248.6329,1829.0,1949.0,140.0,387.0
1890,1138,28,1714.4822,260.4911,1659.0,1775.0,152.0,399.0
1891,1194,37,1635.7226,274.2507,1581.0,1695.0,165.0,414.0
1892,1280,55,1506.6825,299.2908,1456.0,1562.0,189.0,441.0
1893,1333,75,1409.9964,322.9769,1362.0,1462.0,211.0,466.02499999999964
1894,1450,92,1257.8751,341.0982,1211.0,1308.0,228.97500000000002,486.0
1895,1423,129,1215.9025,373.0708,1174.0,1262.0,259.0,519.0
1896,1433,134,1196.6793,377.294,1155.0,1242.0,263.0,524.0
1897,1435,140,1183.7658,382.2075,1143.0,1228.0,267.0,529.0
1898,1445,147,1161.0769,387.8964,1120.0,1204.0,272.0,535.0
1899,1454,157,1134.174,395.7993,1094.0,1176.0,279.0,542.0249999999996
1900,1488,166,1084.2657,402.7076,1046.0,1125.0,285.0,550.0
1901,1454,202,1056.1888,428.7845,1020.0,1094.0,312.0,575.0
1902,1452,205,1053.1103,430.863,1017.0,1091.0,314.0,578.0
1903,1454,206,1049.4821,431.4912,1014.0,1087.0,314.0,578.0
1904,1467,210,1029.7059,434.2674,995.0,1067.0,317.0,581.0
1905,1463,216,1023.6914,438.2819,989.0,1060.0249999999996,321.0,585.0
