year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1822,45,0,2828.6311,0.0,2487.0,3301.0249999999996,0.0,0.0
1829,43,2,2671.6196,157.0115,2398.0,3041.0249999999996,18.0,433.0
1836,57,3,2562.5803,251.0508,2334.0,2863.0,51.0,607.0
1840,64,5,2440.4442,364.1869,2251.0,2665.0249999999996,116.97500000000002,759.0
1879,97,6,2349.5064,421.1247,2183.0,2540.0249999999996,155.0,838.0
1882,118,7,2291.4486,457.1825,2140.0,2463.0,180.97500000000002,878.0
1883,122,8,2257.4865,486.1446,2116.975,2416.0,202.0,917.0
1887,225,9,2125.8378,513.7933,1993.0,2270.0,222.97500000000002,949.0
1889,294,11,2031.4438,537.1873,1903.975,2171.0,243.0,975.0
1890,339,13,1967.6619,553.9692,1843.0,2105.0,258.95000000000005,990.0249999999996
1891,359,15,1931.5799,568.0512,1811.0,2066.0,271.975,1006.0
1892,381,19,1881.4349,592.1962,1765.0,2011.0,294.0,1030.0249999999996
1893,403,23,1833.5968,614.0343,1719.0,1961.0,314.0,1055.0499999999993
1894,442,28,1764.8398,638.7913,1654.0,1889.0,336.975,1079.0249999999996
1895,432,41,1708.5774,692.0537,1606.0,1823.0,385.0,1134.0
1896,436,42,1697.979,697.6521,1597.0,1811.0,390.0,1138.0
1897,436,45,1681.9478,710.6833,1583.975,1793.0,401.0,1153.0
1898,438,47,1668.8123,719.8188,1571.0,1779.0,409.975,1163.0
1899,442,49,1653.8179,728.8132,1558.0,1763.0,418.975,1174.0
1900,449,54,1621.7728,748.8583,1528.0,1727.0,438.0,1196.0
1901,440,63,1587.8763,782.7548,1499.0,1688.0,470.0,1230.0249999999996
1903,440,64,1581.9803,787.6508,1494.9750000000001,1681.0249999999996,475.0,1235.0
1904,443,66,1568.4941,796.137,1483.0,1667.0,483.0,1242.0
1906,442,69,1554.6169,808.0142,1471.975,1651.0,493.0,1259.0499999999993
1907,440,71,1546.3667,816.2644,1464.0,1640.0,498.0,1271.0
1908,438,75,1529.1234,831.5077,1449.0,1620.0,512.0,1285.0
1909,434,79,1513.8748,846.7563,1437.0,1601.0,527.0,1301.0
1910,431,82,1502.2498,858.3813,1427.0,1587.0,538.0,1315.0249999999996
1911,429,84,1493.9972,866.6339,1420.0,1576.0,549.0,1323.0
1913,427,86,1485.7677,874.8634,1413.975,1568.0,555.0,1334.0
1914,426,87,1481.0004,879.6307,1409.0,1562.0,560.0,1337.0
1918,429,89,1467.6639,887.9672,1397.0,1548.0,567.0,1347.0
1920,428,91,1458.6265,896.0046,1390.0,1537.0,573.0,1353.0249999999996
1921,428,92,1452.9912,900.6399,1385.0,1530.0,577.0,1357.0
1924,429,93,1446.3542,905.2769,1379.0,1521.0249999999996,582.0,1363.0
1927,429,95,1436.3964,913.2347,1370.0,1511.0,590.0,1370.0
1928,428,96,1431.851,917.7801,1367.0,1505.0,593.975,1374.0
1929,427,98,1423.0004,925.6307,1359.0,1493.0249999999996,600.0,1383.0
1930,426,99,1418.4939,930.1372,1356.0,1489.0,604.0,1386.0
1932,429,101,1405.7177,937.9134,1344.975,1475.0,611.0,1397.0
1933,430,104,1390.7822,948.8489,1332.0,1457.0,622.0,1407.074999999999
1935,430,106,1381.219,956.4121,1324.0,1445.0,629.975,1417.0
1936,433,107,1372.8744,960.7567,1317.0,1436.0,633.0,1421.0
1937,435,108,1365.6721,964.959,1311.0,1427.0,637.0,1423.0249999999996
1939,437,110,1354.2961,972.335,1302.0,1415.0,645.0,1433.0
1940,439,111,1347.1808,976.4503,1295.0,1406.0249999999996,647.0,1438.0249999999996
1941,440,114,1332.9745,986.6566,1283.975,1391.0,657.0,1452.0
1943,440,115,1328.0024,990.6287,1279.0,1386.0,660.975,1458.0
1944,438,117,1320.9852,997.6459,1272.0,1377.0,667.0,1463.0249999999996
1948,438,118,1315.9305,1001.7006,1269.0,1371.0,671.0,1469.0
1950,443,119,1305.8583,1005.7728,1259.0,1360.0,674.0,1473.0
1951,444,120,1299.9571,1009.674,1255.0,1352.0249999999996,678.0,1476.0249999999996
1953,447,121,1292.1644,1013.4667,1248.0,1344.0,680.0,1479.0249999999996
1954,444,125,1278.5664,1026.0647,1238.0,1327.0,693.0,1491.0
1955,443,129,1263.1177,1038.5134,1225.0,1309.0,703.975,1503.0
1957,446,130,1255.3193,1042.3118,1218.0,1300.0,708.0,1508.0
1958,445,132,1247.8816,1048.7495,1212.0,1290.0,715.0,1516.0
1960,445,133,1243.1671,1052.464,1209.0,1285.0,718.0,1517.0249999999996
1965,446,134,1237.4637,1056.1674,1204.0,1278.0,720.0,1522.0
1970,446,136,1228.9357,1062.6954,1197.0,1268.0,726.0,1529.0249999999996
1973,446,139,1216.8005,1071.8306,1187.0,1253.0,737.0,1542.0
1976,446,140,1212.1854,1075.4457,1184.0,1248.0,739.0,1546.0249999999996
1977,444,142,1205.8537,1081.7774,1179.0,1239.0,744.0,1552.0
1978,443,143,1202.2389,1085.3922,1177.0,1235.0,746.0,1555.0
1981,444,144,1196.7156,1088.9155,1173.0,1227.0,751.0,1557.0
1982,443,146,1189.4693,1095.1618,1168.0,1218.0,757.0,1563.0
1983,441,148,1183.2253,1101.4058,1164.0,1210.0,762.975,1571.0249999999996
1992,445,149,1174.6917,1104.9394,1157.0,1199.0,766.0,1576.0
1993,444,150,1171.2426,1108.3885,1155.0,1195.0,768.0,1579.0249999999996
1996,445,151,1165.7515,1111.8796,1151.0,1187.0,771.0,1584.0
1997,447,152,1159.318,1115.3131,1147.0,1179.0,775.0,1587.0499999999993
2003,453,153,1148.8899,1118.7412,1139.0,1166.0,778.0,1590.0249999999996
2004,452,154,1145.4878,1122.1433,1138.0,1159.0,781.0,1592.0249999999996
2007,455,155,1138.1807,1125.4504,1134.0,1149.0,784.0,1597.0249999999996
2015,471,156,1118.0,1128.6311,1118.0,1118.0,787.0,1601.0249999999996
