year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1822,51,0,677.6498,0.0,623.0,758.0249999999996,0.0,0.0
1829,51,2,642.8057,32.8441,606.0,702.0,3.0,91.0
1840,70,3,604.1695,51.4803,579.0,642.0,9.0,124.0
1884,196,4,464.6522,63.9976,446.0,487.0,15.0,142.0
1889,276,5,380.5841,67.0657,363.0,402.0,18.0,145.0
1890,326,6,328.004,68.6458,311.0,349.0,19.0,147.0
1891,345,9,302.9573,71.6925,287.0,322.0,22.0,151.0
1892,369,15,267.7185,76.9313,254.0,285.0,26.0,157.0
1893,384,19,245.95,79.6998,233.0,262.0,28.0,160.0
1894,435,20,193.4661,80.1837,181.0,209.0,29.0,160.0
1895,423,35,184.0147,86.6351,174.0,198.0,34.0,166.0
1896,427,38,175.9064,87.7434,166.0,189.0,35.0,167.0
1897,429,39,172.6434,88.0064,163.0,186.0,36.0,168.0
1898,434,41,165.0347,88.6151,155.0,178.0,36.0,168.0
1899,437,43,159.5133,89.1365,150.0,172.0,36.0,168.02499999999964
1900,450,46,142.7447,89.9051,134.0,155.0,37.0,170.0
1901,441,56,138.9131,92.7367,131.0,150.0,40.0,173.0
1902,440,57,138.7149,92.9349,131.0,150.0,40.0,173.0
1903,441,58,136.5304,93.1194,129.0,147.0,40.0,173.0
1904,442,59,134.3874,93.2624,127.0,145.0,40.0,174.0
1906,441,61,132.9802,93.6696,126.0,143.0,40.0,174.0
1907,440,63,131.5358,94.114,125.0,142.0,41.0,174.02499999999964
1908,440,64,130.4099,94.2399,124.0,140.0,41.0,175.0
1909,440,66,128.044,94.6058,121.0,138.0,42.0,175.0
1911,438,70,125.1322,95.5176,119.0,134.0,42.0,176.0
1914,436,72,124.7265,95.9233,119.0,134.0,43.0,177.0
1917,439,73,120.6183,96.0315,115.0,129.0,42.0,177.0
1918,440,75,117.3015,96.3483,112.0,126.0,43.0,177.02499999999964
1919,438,78,115.7093,96.9405,110.0,124.0,44.0,178.0
1924,440,79,112.624,97.0258,107.0,121.0,44.0,178.0
1926,437,82,112.0651,97.5847,107.0,120.0,44.0,178.0
1928,436,83,111.9293,97.7205,107.0,119.0,44.0,178.0
1929,436,84,110.8317,97.8181,106.0,118.0,44.97500000000002,178.02499999999964
1930,435,86,109.5242,98.1256,105.0,116.0,45.0,179.0
1932,436,88,106.1853,98.4645,102.0,113.0,45.0,179.0
1933,434,90,105.862,98.7878,102.0,112.0,45.0,179.02499999999964
1935,437,91,101.7166,98.9332,98.0,108.0,46.0,180.0
1936,440,92,97.5898,99.06,94.0,104.0,46.0,180.0
1937,440,93,96.4711,99.1787,93.0,103.0,46.0,180.0
1938,441,94,94.3713,99.2785,91.0,100.0,46.0,180.0
1940,445,95,89.3219,99.3279,86.0,95.0,46.0,180.0
1941,446,98,84.9081,99.7417,82.0,91.0,46.0,180.0
1943,446,99,83.8406,99.8092,81.0,89.0,46.0,180.0
1948,447,100,81.7967,99.8531,79.0,87.0,46.0,181.0
1949,447,102,79.5968,100.053,77.0,85.0,46.0,180.02499999999964
1950,448,104,76.4286,100.2212,74.0,81.0,46.0,180.02499999999964
1951,448,106,74.2568,100.393,72.0,79.0,47.0,181.0
1952,446,108,74.1008,100.549,72.0,79.0,47.0,181.0
1953,449,109,70.0973,100.5525,68.0,75.0,47.0,181.0
1954,447,113,67.681,100.9688,66.0,72.0,47.0,182.0
1955,449,114,64.6403,101.0095,63.0,69.0,47.0,182.0
1956,447,116,64.4937,101.1561,63.0,68.0,47.0,182.0
1957,447,117,63.4296,101.2202,62.0,67.0,47.0,182.0
1959,448,118,61.3729,101.2769,60.0,65.0,47.97500000000002,182.0
1960,448,119,60.328,101.3218,59.0,64.0,47.0,182.0
1963,448,120,59.3033,101.3465,58.0,63.0,48.0,182.0
1965,447,121,59.3126,101.3372,58.0,63.0,47.0,182.0
1967,446,124,57.0847,101.5651,56.0,61.0,48.0,182.0
1970,446,125,56.0793,101.5705,55.0,59.0,48.0,182.02499999999964
1974,444,128,54.8549,101.7949,54.0,58.0,48.0,183.0
1975,443,129,54.8203,101.8295,54.0,58.0,48.0,183.0
1978,444,130,52.7752,101.8746,52.0,56.0,48.0,183.0
1980,443,131,52.7615,101.8883,52.0,56.0,48.0,183.0
1981,445,132,49.7754,101.8744,49.0,52.0,48.0,183.0
1982,443,135,48.6174,102.0324,48.0,51.0,48.0,183.0
1983,441,138,47.4266,102.2232,47.0,49.0,48.0,183.0
1989,442,139,45.3827,102.2671,45.0,47.0,48.0,183.0
1992,447,140,39.3263,102.3235,39.0,41.0,48.0,183.0
1995,453,141,32.2896,102.3602,32.0,34.0,48.0,183.0
1996,454,142,30.2704,102.3794,30.0,32.0,48.0,183.0
1997,454,143,29.2587,102.3911,29.0,31.0,48.0,183.0
2001,455,144,27.261,102.3888,27.0,29.0,48.0,183.0
2003,459,145,22.2995,102.3503,22.0,24.0,48.0,183.0
2004,459,147,20.3457,102.3041,20.0,22.0,48.0,183.0
2007,466,148,12.5413,102.1085,12.0,14.0,48.0,183.0
2015,478,149,0.0,101.6498,0.0,0.0,47.0,182.02499999999964
