year,cumulative no. species,cumulative no. families
1795,0,0
1796,1,1
1797,1,1
1798,1,1
1799,1,1
1800,2,2
1801,2,2
1802,2,2
1803,2,2
1804,2,2
1805,2,2
1806,2,2
1807,2,2
1808,2,2
1809,2,2
1810,2,2
1811,2,2
1812,2,2
1813,3,3
1814,3,3
1815,3,3
1816,3,3
1817,3,3
1818,3,3
1819,5,5
1820,5,5
1821,6,6
1822,183,72
1823,185,72
1824,186,72
1825,186,72
1826,186,72
1827,187,72
1828,187,72
1829,189,72
1830,198,75
1831,205,77
1832,207,78
1833,207,78
1834,207,78
1835,207,78
1836,229,84
1837,238,87
1838,255,90
1839,255,90
1840,256,90
1841,263,90
1842,277,90
1843,278,91
1844,278,91
1845,278,91
1846,282,93
1847,284,94
1848,285,94
1849,286,94
1850,295,96
1851,295,96
1852,295,96
1853,302,99
1854,303,99
1855,303,99
1856,303,99
1857,304,99
1858,306,100
1859,307,100
1860,308,100
1861,316,100
1862,320,101
1863,320,101
1864,320,101
1865,320,101
1866,322,101
1867,341,104
1868,344,106
1869,344,106
1870,344,106
1871,344,106
1872,345,106
1873,346,106
1874,346,106
1875,348,106
1876,351,106
1877,353,106
1878,358,106
1879,365,106
1880,381,108
1881,432,111
1882,443,113
1883,457,113
1884,700,127
1885,748,133
1886,763,134
1887,776,134
1888,788,135
1889,1007,147
1890,1167,152
1891,1233,153
1892,1339,159
1893,1412,160
1894,1546,163
1895,1556,163
1896,1571,164
1897,1579,164
1898,1596,164
1899,1615,166
1900,1658,167
1901,1660,167
1902,1661,167
1903,1664,167
1904,1681,168
1905,1683,168
1906,1689,168
1907,1691,168
1908,1696,168
1909,1700,168
1910,1705,168
1911,1706,168
1912,1706,168
1913,1706,168
1914,1706,168
1915,1707,168
1916,1708,168
1917,1714,168
1918,1720,168
1919,1721,168
1920,1722,168
1921,1726,168
1922,1726,168
1923,1726,168
1924,1730,168
1925,1732,168
1926,1732,168
1927,1733,168
1928,1733,168
1929,1735,168
1930,1738,168
1931,1740,169
1932,1752,170
1933,1762,170
1934,1765,170
1935,1767,170
1936,1773,170
1937,1782,171
1938,1794,171
1939,1800,171
1940,1816,171
1941,1825,171
1942,1825,171
1943,1828,171
1944,1829,171
1945,1829,171
1946,1829,171
1947,1830,171
1948,1833,171
1949,1841,171
1950,1850,171
1951,1856,171
1952,1856,171
1953,1873,172
1954,1880,172
1955,1892,173
1956,1894,173
1957,1900,173
1958,1903,173
1959,1905,173
1960,1906,173
1961,1910,173
1962,1910,173
1963,1911,173
1964,1911,173
1965,1914,173
1966,1916,173
1967,1917,173
1968,1917,173
1969,1920,173
1970,1922,173
1971,1922,173
1972,1922,173
1973,1925,173
1974,1926,173
1975,1926,173
1976,1928,173
1977,1929,173
1978,1930,173
1979,1930,173
1980,1930,173
1981,1941,173
1982,1946,173
1983,1948,173
1984,1949,173
1985,1950,173
1986,1950,173
1987,1950,173
1988,1950,173
1989,1951,173
1990,1951,173
1991,1953,173
1992,1969,173
1993,1972,173
1994,1978,174
1995,1980,174
1996,1993,174
1997,1996,174
1998,1999,174
1999,1999,174
2000,2002,174
2001,2005,174
2002,2010,174
2003,2020,174
2004,2024,174
2005,2030,175
2006,2035,175
2007,2040,175
2008,2053,175
2009,2064,175
2010,2076,175
2011,2080,175
2012,2086,175
2013,2089,175
2014,2090,175
2015,2090,175
2016,2090,175
2017,2090,175
2018,2090,175
2019,2090,175
2020,2090,175
