standard name,Solow p-value
acacia kekapur,0.9413483304428447
acanthus ebracteatus,0.3174217877988809
acanthus ilicifolius,0.5805720515847058
acanthus volubilis,0.08465303154708245
acriopsis liliifolia,0.020004978655982206
acrostichum aureum,0.10275813716994223
acrostichum speciosum,0.560205854287655
actephila excelsa var. javanica,0.8452615959652924
actinodaphne glomerata,0.4299208232435401
actinodaphne macrophylla,0.823396120444784
actinodaphne malaccensis,0.659805946669102
actinodaphne pruinosa,0.650477535492049
actinoscirpus grossus,0.31457459442550695
adenanthera malayana,0.3868608784411693
adenia macrophylla var. singaporeana,0.7598848162125307
adenosma javanicum,0.05210263439267273
adiantum flabellulatum,0.38391616522057037
adiantum hispidulum,0.8071988225904694
adinandra acuminata,0.0013958721437051327
adinandra dumosa,1
adinandra integerrima,0.6448640405191984
aegiceras corniculatum,0.48487845539807556
aeschynanthus albidus,0.9896421639827051
aeschynanthus parvifolius,0.9827966114524098
aeschynanthus radicans,0.0008594682579317038
aeschynanthus wallichii,0.982598081700797
aganope heptaphylla,0.9734932407058738
aganope thyrsiflora,0.3389764897090652
agelaea borneensis,0.9629447232969472
agelaea macrophylla,0.8423010734354074
aglaia crassinervia,0.7548233556588256
aglaia cucullata,0.13296312637997965
aglaia elliptica,0.753200920291453
aglaia erythrosperma,0.12169678392614948
aglaia leptantha,0.5269589223834749
aglaia macrocarpa,0.8158633150448071
aglaia meliosmoides,0.45744397285300264
aglaia multinervis,0.5259677677939305
aglaia odoratissima,0.6060484631665011
aglaia palembanica,0.02566183053773838
aglaia rubiginosa,0.44046031044445283
aglaia rufinervis,0.2666336601482796
aglaia tomentosa subsp. cordata,0.5443837019181971
aglaomorpha speciosa,0.011112134087416872
aglaonema nebulosum,1
aglaonema nitidum,0.2980620923925673
aglaonema simplex,0.6636321237225693
agrostistachys borneensis,0.19463020991171998
agrostistachys gaudichaudii,0.0004326160425074806
agrostistachys sessilifolia,0.00011489877567994979
agrostophyllum majus,0.014463240223811596
agrostophyllum stipulatum,0.5156215393820384
aidia auriculata,0.9950661721061623
aidia densiflora,0.7788658930988642
alangium javanicum,0.7761002576949291
alangium longiflorum,0.799734166869908
alangium nobile,0.5671782496226431
alangium ridleyi,0.4107342461436337
alangium salviifolium,0.1379588452127596
alangium uniloculare,0.9478342702178986
albertisia crassa,0.9827574201849705
albizia retusa,0.9595371349566535
albizia splendens,0.019501911662452114
alchornea rugosa,0.004401071696927398
alchornea villosa,0.9827966114524098
allantodia aspera,0.05365803528260511
allmania nodiflora,0.388376930625154
allophylus cobbe,0.2541299498400215
alocasia longiloba,0.8290810995847767
alphonsea johorensis,0.7691718426905927
alphonsea maingayi,0.8236016422237258
alpinia aquatica,0.6044729255904134
alpinia conchigera,0.024088347666288798
alpinia rafflesiana,0.0028221895500135765
alseodaphne bancana,0.6145556067777038
alseodaphne nigrescens,0.3358997662066338
alseodaphne oblanceolata,0.029385637948764823
alstonia angustifolia,0.01890459401175297
alstonia angustiloba,0.25443813159916967
alstonia pneumatophora,0.9786218547495192
alstonia spatulata,0.8423996954569172
alyxia reinwardtii,0.4578870481736812
amischotolype gracilis,0.769454210757003
amischotolype mollissima,0.4377313802850314
amomum hastilabium,0.022392948287495686
amomum xanthophlebium,0.00024969916917918963
ampelocissus ascendiflora,0.9378605343155543
ampelocissus elegans,0.6728038380269148
ampelocissus gracilis,0.9692472350109755
ampelocissus polystachya,0.599988930968349
ampelocissus thyrsiflora,0.9393196752493869
amphineuron opulentum,0.6620671169229062
amydrium medium,0.7050856409198129
anacolosa frutescens,0.9978409654354468
anadendrum microstachyum,1
anaxagorea javanica,0.09778545133805559
ancistrocladus tectorius,0.6450863795565833
angiopteris evecta,0.7688272582624331
anisophyllea disticha,0.7441898862255408
anisophyllea griffithii,0.6358287223644528
anisoptera costata,0.9955508135407161
anisoptera laevis,0.8278300470894907
anisoptera megistocarpa,0.03673868178738436
anodendron candolleanum,0.5227370498365767
anoectochilus geniculatus,0.016127091045475175
antiaris toxicaria,0.921407244676526
antidesma coriaceum,0.9713538874941258
antidesma cuspidatum,0.9426111221959793
antidesma neurocarpum,0.41451739214482797
antidesma velutinosum,0.9078217231286877
antrophyum callifolium,0.29232110442594184
aphanamixis polystachya,0.053148376152711924
aphyllorchis pallida,0.0020480193549233926
aporosa benthamiana,0.1571379069582799
aporosa confusa,0.0019011685893596335
aporosa falcifera,0.7884616347682171
aporosa frutescens,0.6493580605189361
aporosa globifera,0.3002307367371967
aporosa lucida,0.8337029762596548
aporosa lunata,0.829017222735714
aporosa maingayi,0.827708868839919
aporosa nervosa,0.8581763327161716
aporosa nigricans,0.9924637507719406
aporosa prainiana,0.3915775324320402
aporosa subcaudata,0.4692904496787519
aporosa symplocoides,0.993536870532904
apostasia nuda,0.2036645254638032
appendicula cornuta,0.000295854444662915
appendicula lucida,0.013426893702896087
appendicula uncata,0.07179611009170886
aquilaria hirta,0.7676848939091299
aquilaria malaccensis,0.8552352982085482
aquilaria microcarpa,0.489779634368197
arachnis hookeriana,0.0073926084982658714
aralidium pinnatifidum,0.9933064032193224
archidendron clypearia,0.1718246683905491
archidendron contortum,0.2830624158856352
archidendron ellipticum,0.10722114565183091
archidendron globosum,0.645390624810175
archidendron jiringa,0.03172217213583635
archidendron microcarpum,0.5286603655029609
ardisia crenata,0.834163283535003
ardisia elliptica,0.31607021260214646
ardisia purpurea,0.9182391200678539
ardisia sanguinolenta,0.5018833059167122
ardisia singaporensis,0.004575245504478797
ardisia teysmanniana,0.33422942406972034
ardisia tuberculata,0.34244009824995014
argyreia ridleyi,0.8355782570838156
artabotrys costatus,0.8170163966708209
artabotrys crassifolius,0.7605301568606345
artabotrys maingayi,0.597102701442737
artabotrys suaveolens,0.9492816197995846
artabotrys wrayi,0.31941640852962805
arthrophyllum diversifolium,1
artocarpus anisophyllus,0.47233944204422507
artocarpus elasticus,0.5127410043642315
artocarpus fulvicortex,0.49266114473202216
artocarpus gomezianus,0.132879573675573
artocarpus hispidus,0.6792759512740336
artocarpus kemando,0.3793187533426579
artocarpus lacucha,0.8040259892090321
artocarpus lanceifolius,0.4817722463915651
artocarpus lowii,0.0003998153919226298
artocarpus nitidus subsp. griffithii,0.6041777005800905
artocarpus rigidus,0.5656237886160413
arundina graminifolia,1
arytera littoralis,0.8221974230110074
aspidopterys concava,0.9352237106648535
asplenium batuense,0.8695406994331996
asplenium longissimum,0.5648711527777799
asplenium macrophyllum,0.001220352831116538
asplenium nidus,1
asplenium nitidum,0.9662588192263769
asplenium phyllitidis,0.007996234883402748
asplenium tenerum,0.9967645338440373
athyrium accedens,0.7746594019950916
austrobuxus nitidus,0.0018057790458420701
avicennia alba,0.6812414435113292
avicennia marina,0.40393768078950176
avicennia officinalis,0.10722114565183091
avicennia rumphiana,0.3211309461658827
baccaurea bracteata,0.9623589810039939
baccaurea brevipes,0.06437002858654955
baccaurea macrocarpa,0.6257615619643317
baccaurea macrophylla,0.11586614145841857
baccaurea maingayi,0.30585546081359144
baccaurea minor,0.5935271140644899
baccaurea motleyana,0.5040177928105187
baccaurea parviflora,0.7303009318091073
baccaurea polyneura,0.41628222768993134
baccaurea racemosa,0.8221974230110074
baccaurea reticulata,0.18483191425840323
baccaurea sumatrana,0.5854878215874204
baratranthus axanthus,0.06412370999757779
barringtonia asiatica,1
barringtonia conoidea,0.004440024829197275
barringtonia macrostachya,0.4481038116664634
barringtonia racemosa,0.49714576103130326
barringtonia reticulata,0.7589988187904684
bauhinia semibifida,0.9639593606471342
beilschmiedia kunstleri,0.7720100225246203
beilschmiedia madang,0.3180238160368424
benstonea affinis,0.6237810940524197
benstonea atrocarpa,0.9259038993187323
benstonea ornata,0.8909408451584075
benstonea parva,0.9048676761008544
bhesa paniculata,0.9605045148845872
bhesa robusta,0.6223783111225406
blechnum finlaysonianum,0.6526933068205004
blechnum orientale,0.36302309324273285
blechnum serrulatum,0.037685207879982696
blumea riparia,0.0036819099635438343
blumeodendron tokbrai,0.5120773768379854
bolbitis appendiculata,0.00021322586533343004
bolbitis heteroclita,6.0549504960246915e-05
bolbitis sinuata,0.899472880308232
bolbitis x singaporensis,0.0033742605985455014
bouea macrophylla,0.15761729523879553
bouea oppositifolia,0.8078943661274662
brackenridgea elegantissima,0.5181157666039415
brackenridgea palustris,0.009376127007359104
breynia coronata,0.7545607517466607
breynia discigera,0.7589988187904684
breynia racemosa,0.47508636541777693
breynia vitis-idaea,1
bridelia cinnamomea,0.0744145610627413
bridelia pustulata,0.9779353639703922
bridelia stipularis,0.6156783099873607
bridelia tomentosa,1
bromheadia alticola,0.9042226274491602
bromheadia finlaysoniana,0.9759984109763726
bromheadia truncata,0.025160888299851334
brownlowia tersa,0.5423830794786985
brucea javanica,0.732849997626624
bruguiera cylindrica,1
bruguiera gymnorhiza,0.023027715764032272
bruguiera hainesii,0.9413512645645656
bruguiera parviflora,0.24587997712382698
bruguiera sexangula,0.8983898037994963
bryobium pudicum,0.17304120187754726
buchanania arborescens,0.7596419762176245
buchanania sessilifolia,0.9595135535211646
bulbophyllum acuminatum,0.003807033000040905
bulbophyllum apodum,0.3081137285970009
bulbophyllum botryophorum,0.22837736736128827
bulbophyllum clandestinum,0.351412375387739
bulbophyllum concinnum,0.014436164840815398
bulbophyllum dischidiifolium,0.032647424308277
bulbophyllum flabellum-veneris,0.6003156231143645
bulbophyllum gracillimum,0.001995555203336776
bulbophyllum macranthum,0.04810132813354717
bulbophyllum macrochilum,0.01402929187945738
bulbophyllum maxillare,0.009376127007359104
bulbophyllum medusae,0.004575245504478797
bulbophyllum membranaceum,0.028549185841866654
bulbophyllum ovalifolium,0.0017393957290467853
bulbophyllum patens,0.0017393957290467853
bulbophyllum pileatum,0.022988822063454043
bulbophyllum pulchellum,0.002185755019817168
bulbophyllum purpurascens,0.0009941296194610617
bulbophyllum restrepia,0.12662755852564095
bulbophyllum singaporeanum,0.7203472793254159
bulbophyllum vaginatum,0.9873639483252323
bulbophyllum vermiculare,0.001995555203336776
bulbostylis barbata,0.08511849270560655
bulbostylis puberula,0.28073179650979285
burmannia championii,0.005886785330206348
burmannia coelestis,0.3339415051094904
byttneria maingayi,0.5472988988129042
caesalpinia bonduc,0.9635550393080449
caesalpinia crista,0.46844976459177096
caesalpinia sumatrana,0.9321009542851716
calamus densiflorus,1
calamus diepenhorstii,0.785617162653071
calamus erinaceus,0.2556476250723214
calamus insignis,0.29703219906174466
calamus javensis,0.25437815530459934
calamus laevigatus,0.40234874209898625
calamus lobbianus,0.045083075903527205
calamus ornatus,0.13627623491824953
calamus oxleyanus,0.048084912079126706
calamus ridleyanus,0.0980762369664265
calanthe pulchra,0.0013637530893989694
callerya dasyphylla,0.04681607284052137
callerya eriantha,0.678319665073618
callicarpa longifolia,0.8868513112413129
callostylis pulchella,0.003614586396020563
calophyllum dispar,0.11128448250428709
calophyllum ferrugineum,0.7598848162125307
calophyllum inophyllum,1
calophyllum lanigerum var. austrocoriaceum,0.9476119262085723
calophyllum macrocarpum,0.2420635900768512
calophyllum pulcherrimum,1
calophyllum rigidum,0.18947072467822734
calophyllum rubiginosum,0.56975829824805
calophyllum rufigemmatum,0.431295125998442
calophyllum soulattri,0.9833092626313356
calophyllum sundaicum,0.08674169391977656
calophyllum tetrapterum,0.3898535452425792
calophyllum teysmannii,0.8607511503284748
calophyllum wallichianum var. incrassatum,0.859461747888526
campnosperma auriculatum,1
campnosperma squamatum,0.7192034873607449
campylospermum serratum,0.027876181726941143
canarium littorale,0.3598067473221195
canarium patentinervium,0.49714576103130326
canarium pilosum,0.41014965666928854
canavalia cathartica,0.8153543287253966
canavalia rosea,0.3083501635081884
cansjera rheedii,0.47735486414477396
canthium confertum,0.678839591993025
canthium glabrum,0.863006605122452
canthium horridum,0.5447938745410652
canthium molle,0.9499715709954801
