year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1822,183,0,2350.919863945578,0.0,2248.0,2479.0,0.0,0.0
1829,182,7,2241.39462585034,103.5252380952381,2166.4750000000004,2332.0,43.0,194.0
1836,221,8,2176.666394557823,128.2534693877551,2109.0,2258.0,58.0,227.0
1840,245,11,2109.6002721088435,168.3195918367347,2054.0,2174.0,87.0,278.0
1867,329,12,2007.1395918367348,185.78027210884355,1958.0,2064.0,101.0,301.0
1879,352,13,1970.7836734693878,198.13619047619048,1924.0,2024.0,111.0,315.0
1882,429,14,1881.3023809523809,209.61748299319729,1837.0,1930.0,121.0,328.0
1883,442,15,1858.3925850340136,218.52727891156462,1816.0,1905.0,129.0,338.0
1884,684,16,1606.8344217687074,227.08544217687074,1567.0,1651.0,136.0,347.52499999999964
1885,729,19,1549.3225170068026,236.5973469387755,1511.0,1591.0,145.0,357.0
1887,756,20,1517.0544897959185,240.86537414965986,1479.0,1559.0,149.0,361.0
1889,984,23,1277.8917006802722,249.02816326530612,1242.0,1318.0,156.0,370.0
1890,1137,30,1107.35768707483,259.5621768707483,1072.0,1146.0,166.0,381.0
1891,1194,39,1031.4172108843538,269.50265306122446,997.0,1068.0,176.0,391.0
1892,1282,57,908.7932653061224,286.1265986394558,877.0,943.0,191.47500000000002,409.0
1893,1335,77,820.6514965986395,301.26836734693876,791.0,854.0,205.0,424.0
1894,1452,94,675.4481632653061,312.47170068027214,647.0,707.0,216.47500000000002,437.0
1895,1425,131,647.5350340136055,330.3848299319728,622.0,677.0,233.0,455.0
1896,1435,136,629.7868707482993,333.1329931972789,604.0,659.0,235.0,457.0
1897,1437,142,618.6697959183673,336.2500680272109,594.0,647.0,239.0,460.0
1898,1447,149,598.164081632653,339.7557823129252,574.0,626.0,241.0,464.0
1899,1456,159,574.5527891156463,344.367074829932,551.0,601.0,246.0,468.0
1900,1489,169,527.1391156462585,348.7807482993197,504.0,554.0,251.0,473.0
1901,1454,206,511.40299319727893,362.5168707482993,490.0,536.0,264.0,488.0
1902,1452,209,508.9725850340136,363.94727891156464,488.0,533.0,265.0,489.0
1903,1454,210,505.25714285714287,364.6627210884354,484.0,529.0,266.0,490.0
1904,1466,215,486.09197278911563,366.8278911564626,466.0,509.0,268.0,492.0
