standard names
acacia kekapur
acanthus ebracteatus
acanthus ilicifolius
acanthus volubilis
acriopsis liliifolia
acrostichum aureum
acrostichum speciosum
actephila excelsa var. javanica
actinodaphne glomerata
adenanthera malayana
adenia macrophylla var. singaporeana
adinandra acuminata
adinandra dumosa
adinandra integerrima
aeschynanthus albidus
aeschynanthus parvifolius
aeschynanthus radicans
agelaea borneensis
agelaea macrophylla
aglaia elliptica
aglaia erythrosperma
aglaia meliosmoides
aglaia odoratissima
aglaia rufinervis
aglaomorpha speciosa
aglaonema nebulosum
aglaonema nitidum
aglaonema simplex
agrostistachys borneensis
agrostistachys sessilifolia
aidia auriculata
aidia densiflora
alangium salviifolium
albizia splendens
alchornea villosa
allophylus cobbe
alocasia longiloba
alpinia aquatica
alpinia conchigera
alpinia rafflesiana
alseodaphne oblanceolata
alstonia angustifolia
alstonia angustiloba
alstonia spatulata
alyxia reinwardtii
amischotolype gracilis
amomum hastilabium
amomum xanthophlebium
ampelocissus ascendiflora
ampelocissus elegans
ampelocissus gracilis
ampelocissus polystachya
ampelocissus thyrsiflora
amphineuron opulentum
amydrium medium
ancistrocladus tectorius
angiopteris evecta
anisophyllea disticha
anisophyllea griffithii
anisoptera megistocarpa
antiaris toxicaria
antidesma coriaceum
antidesma cuspidatum
antidesma neurocarpum
antidesma velutinosum
aphanamixis polystachya
aporosa benthamiana
aporosa frutescens
aporosa lucida
aporosa lunata
aporosa maingayi
aporosa nervosa
aporosa symplocoides
appendicula lucida
aquilaria malaccensis
aquilaria microcarpa
arachnis hookeriana
aralidium pinnatifidum
archidendron clypearia
archidendron contortum
archidendron ellipticum
archidendron jiringa
archidendron microcarpum
ardisia crenata
ardisia sanguinolenta
ardisia teysmanniana
argyreia ridleyi
artabotrys suaveolens
arthrophyllum diversifolium
artocarpus anisophyllus
artocarpus elasticus
artocarpus fulvicortex
artocarpus hispidus
artocarpus kemando
artocarpus lacucha
artocarpus lowii
arundina graminifolia
aspidopterys concava
asplenium batuense
asplenium longissimum
asplenium macrophyllum
asplenium nidus
asplenium phyllitidis
asplenium tenerum
austrobuxus nitidus
avicennia alba
avicennia marina
avicennia officinalis
avicennia rumphiana
baccaurea macrophylla
baccaurea motleyana
baccaurea parviflora
baccaurea polyneura
baccaurea sumatrana
baratranthus axanthus
barringtonia asiatica
bauhinia semibifida
beilschmiedia madang
benstonea parva
bhesa paniculata
bhesa robusta
blechnum finlaysonianum
blechnum orientale
blechnum serrulatum
blumeodendron tokbrai
bolbitis appendiculata
bolbitis heteroclita
bolbitis sinuata
bolbitis x singaporensis
bouea oppositifolia
brackenridgea elegantissima
breynia coronata
breynia vitis-idaea
bridelia cinnamomea
bridelia pustulata
bridelia stipularis
bridelia tomentosa
bromheadia finlaysoniana
brownlowia tersa
brucea javanica
bruguiera cylindrica
bruguiera gymnorhiza
bruguiera parviflora
bruguiera sexangula
buchanania arborescens
buchanania sessilifolia
bulbophyllum acuminatum
bulbophyllum clandestinum
bulbophyllum concinnum
bulbophyllum macranthum
bulbophyllum membranaceum
bulbophyllum pulchellum
bulbophyllum vaginatum
bulbostylis barbata
burmannia coelestis
byttneria maingayi
caesalpinia bonduc
caesalpinia crista
caesalpinia sumatrana
calamus densiflorus
calamus diepenhorstii
calamus erinaceus
calamus insignis
calamus javensis
calamus laevigatus
calamus oxleyanus
calamus ridleyanus
calanthe pulchra
callerya dasyphylla
callerya eriantha
callicarpa longifolia
callostylis pulchella
calophyllum dispar
calophyllum ferrugineum
calophyllum inophyllum
calophyllum lanigerum var. austrocoriaceum
calophyllum pulcherrimum
calophyllum rigidum
calophyllum rubiginosum
calophyllum tetrapterum
calophyllum teysmannii
calophyllum wallichianum var. incrassatum
campnosperma auriculatum
campnosperma squamatum
campylospermum serratum
canarium littorale
canarium patentinervium
canarium pilosum
canavalia cathartica
cansjera rheedii
canthium confertum
canthium glabrum
canthium horridum
canthium molle
carallia brachiata
caryota mitis
casearia clarkei
casearia lobbiana
cassytha filiformis
castanopsis megacarpa
castanopsis nephelioides
castanopsis schefferiana
casuarina equisetifolia
cayratia japonica
cayratia mollissima
cayratia novemfolia
cayratia trifolia
centotheca lappacea
cephalomanes javanicum
cephalomanes obscurum
cephalomanes singaporeanum
cerbera odollam
ceriops tagal
champereia manillana
chassalia curviflora
cheilanthes tenuifolia
chisocheton patens
chisocheton pentandrus subsp. paucijugus
chloranthus erectus
chonemorpha fragrans
christella arida
christella subpubescens
cinnamomum iners
cinnamomum javanicum
cissus hastata
cissus nodosa
cissus repens
cissus rostrata
claoxylon indicum
claoxylon longifolium
clausena excavata
cleisostoma halophilum
cleistanthus macrophyllus
cleistanthus sumatranus
clerodendrum deflexum
clerodendrum disparifolium
clerodendrum inerme
clerodendrum villosum
cnestis palala
cocculus orbiculatus
coelogyne mayeriana
coelogyne rochussenii
colubrina asiatica
combretum sundaicum
commelina attenuata
commersonia bartramia
connarus ferrugineus
connarus grandis
connarus monocarpus subsp. malayensis
connarus planchonianus
connarus semidecandrus
coptosapelta griffithii
cordia dichotoma
coscinium fenestratum
cratoxylum arborescens
cratoxylum cochinchinense
cratoxylum formosum
cratoxylum maingayi
crepidomanes christii
crepidomanes humile
crepidomanes minutum
crinum asiaticum
croton caudatus
croton oblongus
cryptocarya impressa
cryptocoryne griffithii
ctenolophon parvifolius
ctenopterella blechnoides
cyathea glabra
cyathea latebrosa
cyathea squamulata
cyathocalyx ramuliflorus
cyathocalyx ridleyi
cyclea laxiflora
cyclosorus interruptus
cymbidium bicolor subsp. pubescens
cymbidium finlaysonianum
cynodon dactylon
cyperus dubius
cyperus malaccensis
cyperus procerus
cyperus radians
cyrtandra pendula
cyrtosperma merkusii
cyrtostachys renda
cystorchis variegata
dacryodes laxa
dacryodes rostrata
dacryodes rugosa
daemonorops angustifolia
daemonorops didymophylla
daemonorops grandis
daemonorops hirsuta
daemonorops kunstleri
daemonorops leptopus
daemonorops longipes
daemonorops periacantha
daemonorops sabut
dalbergia havilandii
dalbergia junghuhnii
dalbergia rostrata
dalbergia velutina
davallia angustata
davallia denticulata
davallia heterophylla
davallia parvula
davallia pectinata
davallia repens
davallia solida
davallia triphylla
decaspermum fruticosum
dehaasia incrassata
dendrobium aloifolium
dendrobium comatum
dendrobium crumenatum
dendrobium indivisum
dendrobium prostratum
dendrolobium umbellatum
dendrophthoe pentandra
deplanchea bancana
derris maingayana
derris trifoliata
desmos dasymaschalus
dialium platysepalum
dianella ensifolia
dichapetalum sordidum
dicranopteris curranii
dicranopteris linearis
didymocarpus platypus
didymoplexis pallens
dillenia excelsa
dillenia grandifolia
dillenia suffruticosa
dioscorea glabra
dioscorea hispida
dioscorea laurifolia
dioscorea orbiculata var. tenuifolia
dioscorea polyclados
dioscorea pyrifolia
diospyros argentea
diospyros buxifolia
diospyros diepenhorstii
diospyros lanceifolia
diospyros oblonga
diospyros styraciformis
diplazium cordifolium
diplazium crenato-serratum
diplazium esculentum
diplazium sorzogonense
diplazium tomentosum
diplectria divaricata
diplospora malaccensis
dipterocarpus caudatus subsp. penangianus
dipterocarpus cornutus
dipterocarpus grandiflorus
dipterocarpus kunstleri
dipterocarpus sublamellatus
dischidia bengalensis
dischidia cochleata
dischidia major
dischidia nummularia
dissochaeta celebica
dissochaeta gracilis
dolichandrone spathacea
donax canniformis
dracaena cantleyi
dracaena granulata
dracaena maingayi
dracaena porteri
drynaria quercifolia
drynaria sparsisora
drypetes pendula
durio griffithii
durio singaporensis
dyera costulata
dysoxylum cauliflorum
elaeocarpus acmosepalus
elaeocarpus ferrugineus
elaeocarpus mastersii
elaeocarpus obtusus subsp. apiculatus
elaeocarpus palembanicus
elaeocarpus pedunculatus
elaeocarpus petiolatus
elaeocarpus polystachyus
elaeocarpus salicifolius
elaeocarpus stipularis
eleiodoxa conferta
elettariopsis curtisii
ellipanthus tomentosus
embelia canescens
embelia ribes
endocomia canarioides
endospermum diadenum
enhalus acoroides
entada spiralis
epipremnum giganteum
epipremnum pinnatum
eragrostis atrovirens
erycibe leucoxyloides
erycibe maingayi
erycibe tomentosa
erythropalum scandens
erythroxylum cuneatum
etlingera maingayi
etlingera punicea
eurya acuminata
eurycoma longifolia
excoecaria agallocha
fagraea fragrans
fagraea ridleyi
fibraurea tinctoria
ficus annulata
ficus apiocarpa
ficus aurata
ficus binnendijkii
ficus botryocarpa
ficus bracteata
ficus caulocarpa
ficus chartacea
ficus consociata
ficus crassiramea
ficus delosyce
ficus deltoidea
ficus dubia
ficus fistulosa
ficus glandulifera
ficus globosa
ficus grossularioides
ficus heteropleura
ficus kerkhovenii
ficus laevis
ficus microcarpa
ficus microsyce
ficus obscura var. borneensis
ficus pallescens
ficus pisocarpa
ficus punctata
ficus recurva var. ribesioides
ficus retusa
ficus sagittata
ficus sinuata
ficus subgelderi
ficus sumatrana
ficus superba
ficus trichocarpa
ficus variegata
ficus vasculosa
ficus villosa
ficus virens
ficus xylophylla
fimbristylis leptoclada
finlaysonia obovata
fissistigma fulgens
fissistigma latifolium var. ovoideum
flacourtia rukam
flagellaria indica
friesodielsia latifolia
gaertnera grisea
gaertnera obesa
gaertnera viminea
galearia fulva
galearia maingayi
garcinia forbesii
garcinia griffithii
garcinia hombroniana
garcinia parvifolia
garcinia rostrata
garcinia scortechinii
gardenia subcarinata
gardenia tubifera
gironniera nervosa
gironniera parvifolia
gironniera subaequalis
gleichenia truncata
globba leucantha
globba pendula
glochidion lutescens
glochidion obscurum
glochidion sericeum
glochidion superbum
gluta wallichii
glycosmis chlorosperma
gmelina philippensis
gnetum gnemon
gnetum macrostachyum
gnetum microcarpum
gomphandra quadrifida var. ovalifolia
goniophlebium percussum
goniothalamus ridleyi
goniothalamus tapis
gonocaryum gracile
gonystylus confusus
gordonia multinervis
gordonia penangensis
gordonia singaporeana
grewia laevigata
guioa pleuropteris
guioa pubescens
gymnacranthera bancana
gymnacranthera farquhariana
gymnacranthera forbesii
gynochthodes coriacea
gynochthodes sublanceolata
gynotroches axillaris
halodule pinifolia
halophila ovalis
halophila spinulosa
hancea penangensis
hedyotis auricularia
hedyotis pinifolia
heritiera borneensis
heritiera elata
heritiera littoralis
heritiera simplicifolia
heterogonium sagenioides
homalium grandiflorum
homalomena humilis var. pumila
homalomena rostrata
hopea griffithii
hopea mengarawan
hopea sangal
hornstedtia leonurus
hornstedtia scyphifera
horsfieldia crassifolia
horsfieldia grandis
horsfieldia polyspherula
horsfieldia punctatifolia
horsfieldia sucosa
horsfieldia superba
horsfieldia wallichii
hoya coronaria
hoya lacunosa
hoya latifolia
hoya obtusifolia
hoya verticillata
hoya wallichii
huperzia phlegmaria
huperzia squarrosa
hydnophytum formicarum
hymenophyllum polyanthos
hypolytrum nemorum var. proliferum
hypserpa nitida
iguanura geonomiformis
ilex cymosa
indorouchera griffithiana
iodes ovalis
iodes velutina
ipomoea littoralis
ipomoea mauritiana
ipomoea pes-caprae
ipomoea violacea
irvingia malayana
ischaemum muticum
ixonanthes icosandra
ixonanthes reticulata
ixora congesta
ixora lobbii
ixora pendula
jasminum elongatum
kadsura scandens
kibatalia maingayi
kleinhovia hospita
knema communis
knema conferta
knema curtisii
knema furfuracea
knema glaucescens
knema globularia
knema hookeriana
knema intermedia
knema latericia
knema laurina
knema malayana
knema rubens
koilodepas longifolium
kokoona reflexa
koompassia malaccensis
kopsia singapurensis
korthalsia echinometra
korthalsia laciniosa
korthalsia rigida
korthalsia rostrata
korthalsia scortechinii
kunstleria ridleyi
labisia pumila
lasia spinosa
lasianthus attenuatus
lasianthus maingayi
lecanopteris crustacea
lecanopteris sinuosa
leea angulata
leea indica
leea rubra
lemna tenera
lepionurus sylvestris
lepironia articulata
lepisanthes rubiginosa
lepisorus longifolius
leuconotis griffithii
licania splendens
licuala ferruginea
licuala spinosa
limacia scandens
lindera lucida
lindernia anagallis
lindsaea cultrata
lindsaea divergens
lindsaea ensifolia
lindsaea parallelogramma
lindsaea walkerae
liparis ferruginea
lipocarpha chinensis
lithocarpus bennettii
lithocarpus cantleyanus
lithocarpus conocarpus
lithocarpus elegans
lithocarpus encleisocarpus
lithocarpus ewyckii
lithocarpus lucidus
litsea accedens
litsea castanea
litsea cordata
litsea elliptica
litsea ferruginea
litsea firma
litsea grandis
litsea lancifolia
lophopetalum wightianum
lumnitzera littorea
lumnitzera racemosa
luvunga crassifolia
lycopodiella cernua
lygodium flexuosum
lygodium longifolium
lygodium microphyllum
lygodium salicifolium
macaranga bancana
